Batch,CER,WER
0,0.2222,1.0000
1,0.1919,1.0000
2,0.2279,0.8966
3,0.2579,1.2778
4,0.2008,0.9123
5,0.2381,1.0962
6,0.2183,1.0175
7,0.2422,0.9298
8,0.1864,0.9138
9,0.1775,0.8793
10,0.2054,0.9138
11,0.2232,1.1552
12,0.2931,1.1569
13,0.2100,0.9074
14,0.1883,0.9630
15,0.2412,1.1509
16,0.1685,0.8269
17,0.2373,1.0179
18,0.1705,0.8333
19,0.0926,0.6364
20,0.2049,0.9298
21,0.1772,0.7321
22,0.1611,1.0351
23,0.1335,0.7069
24,0.1527,0.6792
25,0.1587,0.8621
26,0.1452,0.8947
27,0.1940,0.8571
28,0.1921,0.9259
29,0.2165,1.0400
30,0.1630,1.0000
31,0.1770,0.9298
32,0.1391,0.7222
33,0.1991,0.7679
34,0.2053,0.8947
35,0.2139,0.9821
36,0.2300,0.8448
37,0.1643,0.9057
38,0.1909,0.9831
39,0.2280,1.1034
40,0.1847,1.1053
41,0.2978,1.1296
42,0.1917,0.9310
43,0.2480,1.0339
44,0.2542,1.0667
45,0.1718,0.7667
46,0.1871,0.8491
47,0.2023,0.9107
48,0.2110,1.0000
49,0.2863,1.3019
50,0.2703,1.1017
51,0.2054,0.9825
52,0.2598,1.1250
53,0.1928,0.9091
54,0.2505,1.1071
55,0.2273,0.8772
56,0.3441,1.2593
57,0.3389,1.1818
58,0.2390,1.0345
59,0.3924,1.4898
60,0.2757,1.1930
61,0.2978,1.0351
62,0.2569,1.0000
63,0.3069,1.2453
64,0.2546,1.1579
65,0.2487,1.1964
66,0.2944,1.1455
67,0.3536,1.3704
68,0.2608,1.1607
69,0.2636,1.0536
70,0.2873,1.1071
71,0.3348,1.1455
72,0.2132,0.8966
73,0.3372,1.4211
74,0.2050,0.7797
75,0.1793,0.9000
76,0.2200,0.9000
77,0.2703,0.9828
78,0.2710,1.0167
79,0.2608,0.9464
80,0.2154,0.8929
81,0.2677,1.0517
82,1.9256,5.9483
83,0.1811,0.8000
84,0.2822,1.0833
85,0.2770,1.1071
86,0.2978,1.0833
87,0.2500,0.8167
88,0.3155,0.9167
89,0.2353,0.8333
90,0.1985,0.9000
91,0.1654,0.7667
92,0.2232,0.8833
93,0.2311,0.8667
94,0.1523,0.7333
95,0.2349,0.8167
96,0.2065,0.7667
97,0.1766,0.8667
98,0.1965,0.7833
99,0.2521,0.9828
100,0.2384,0.8448
101,0.1922,0.7500
102,0.2134,0.9828
103,0.2274,0.9167
104,0.2904,1.1000
105,0.1479,0.7667
106,0.2070,0.8571
107,0.2797,1.0172
108,0.2348,1.0345
109,0.2854,0.9643
110,0.3272,1.2000
111,0.2567,1.1207
112,0.2468,0.9000
113,0.2733,1.0000
114,0.2468,0.9138
115,0.2454,1.1500
116,0.3018,0.9000
117,0.2667,1.1034
118,0.2873,1.0500
119,0.2903,1.1000
120,0.2917,1.0517
121,0.1593,0.7931
122,0.2235,0.9000
123,0.2290,0.9167
124,0.2626,0.9107
125,0.2529,1.0690
126,0.2070,0.9500
127,0.2820,0.9667
128,0.2262,0.8000
129,0.2500,0.9833
130,0.2417,0.9667
131,0.2730,1.2333
132,0.2176,0.8500
133,0.2782,0.9500
134,0.2255,0.8966
135,0.2510,0.9821
136,0.2645,1.1250
137,0.2444,0.9333
138,0.2465,1.0000
139,0.2626,1.0714
140,0.2473,1.0536
141,0.2475,0.9000
142,0.2177,0.7667
143,0.2748,0.9667
144,0.2413,1.0000
145,1.0350,3.3667
146,0.2528,1.0167
147,0.2067,0.8276
148,0.2481,1.0185
149,0.3426,1.1833
150,0.2927,1.1667
