Batch,CER,WER
0,0.0525,0.2364
1,0.0374,0.3667
2,0.0393,0.2759
3,0.0595,0.3519
4,0.0248,0.1228
5,0.0346,0.2500
6,0.0039,0.0702
7,0.0125,0.1579
8,0.0203,0.1379
9,0.0334,0.2586
10,0.0625,0.2931
11,0.0264,0.3103
12,0.0819,0.4118
13,0.0291,0.2037
14,0.0397,0.2963
15,0.0350,0.3585
16,0.0766,0.2308
17,0.0506,0.3214
18,0.0388,0.1833
19,0.0130,0.1091
20,0.0228,0.1579
21,0.0413,0.1250
22,0.0352,0.2807
23,0.0219,0.1207
24,0.0272,0.2264
25,0.0511,0.3448
26,0.0672,0.4386
27,0.0260,0.1964
28,0.0455,0.3333
29,0.0454,0.4200
30,0.0326,0.1930
31,0.0621,0.2807
32,0.0196,0.1852
33,0.0243,0.2143
34,0.0433,0.2105
35,0.0319,0.3393
36,0.0041,0.0517
37,0.0226,0.2642
38,0.0538,0.3220
39,0.0155,0.1897
40,0.0373,0.3158
41,0.0804,0.3704
42,0.0333,0.1379
43,0.0332,0.2373
44,0.0785,0.3667
45,0.0416,0.2500
46,0.0208,0.0755
47,0.0344,0.1786
48,0.0380,0.3333
49,0.0414,0.1887
50,0.0432,0.2203
51,0.0365,0.2281
52,0.0433,0.3036
53,0.0301,0.2000
54,0.0505,0.2679
55,0.0170,0.0877
56,0.0739,0.3333
57,0.0270,0.2000
58,0.0510,0.3276
59,0.0448,0.3061
60,0.0380,0.3158
61,0.0651,0.3333
62,0.0370,0.1864
63,0.0579,0.3396
64,0.0540,0.3684
65,0.0698,0.3571
66,0.0524,0.3636
67,0.0413,0.2963
68,0.0844,0.5357
69,0.0649,0.3393
70,0.0227,0.1607
71,0.0343,0.1818
72,0.0662,0.4138
73,0.0443,0.4211
74,0.0356,0.1695
75,0.0224,0.2000
76,0.0334,0.1500
77,0.0888,0.3793
78,0.0672,0.4167
79,0.0263,0.2500
80,0.0285,0.2321
81,0.0243,0.1034
82,0.0470,0.2069
83,0.0660,0.3500
84,0.0450,0.2167
85,0.0444,0.1786
86,0.0391,0.3000
87,0.0642,0.3167
88,0.0394,0.2000
89,0.0305,0.1500
90,0.0204,0.1167
91,0.0331,0.1667
92,0.0126,0.0833
93,0.0602,0.3000
94,0.0273,0.1333
95,0.0268,0.2667
96,0.0153,0.1000
97,0.0198,0.1167
98,0.0110,0.0667
99,0.0434,0.2241
100,0.0221,0.1724
101,0.0350,0.2500
102,0.0370,0.1897
103,0.0289,0.1500
104,0.0441,0.3167
105,0.0169,0.1833
106,0.0327,0.2143
107,0.0441,0.2241
108,0.0356,0.3103
109,0.0479,0.3214
110,0.0597,0.3000
111,0.0399,0.3448
112,0.0193,0.1833
113,0.0339,0.1724
114,0.0574,0.3276
115,0.0303,0.4000
116,0.0815,0.1833
117,0.0479,0.2069
118,0.0442,0.2167
119,0.0557,0.2500
120,0.0458,0.1552
121,0.0390,0.2759
122,0.0322,0.2333
123,0.0215,0.1500
124,0.0646,0.3393
125,0.0564,0.3621
126,0.0733,0.3000
127,0.0080,0.1333
128,0.0444,0.2500
129,0.0195,0.1833
130,0.0227,0.2667
131,0.0638,0.2667
132,0.0399,0.2500
133,0.0350,0.2333
134,0.0294,0.1379
135,0.0876,0.3929
136,0.0842,0.5000
137,0.0586,0.3500
138,0.0240,0.1897
139,0.0284,0.2143
140,0.0412,0.3214
141,0.0487,0.2500
142,0.0575,0.3000
143,0.0269,0.1833
144,0.1022,0.3448
145,0.0681,0.3167
146,0.0576,0.3500
147,0.0626,0.3276
148,0.0625,0.3333
149,0.0617,0.3333
150,0.0000,0.0000
