Batch,CER,WER
0,0.2141,0.5818
1,0.2564,0.5000
2,0.3124,0.5345
3,0.2758,0.7407
4,0.1760,0.4912
5,0.2987,0.6731
6,0.2242,0.4737
7,0.2401,0.4912
8,0.1729,0.2931
9,0.1916,0.3103
10,0.2250,0.4655
11,0.2179,0.7069
12,0.2909,0.5686
13,0.2328,0.4444
14,0.2531,0.5370
15,0.3580,0.7547
16,0.1947,0.5192
17,0.2932,0.6964
18,0.2364,0.5167
19,0.0759,0.2727
20,0.1879,0.3509
21,0.1654,0.2857
22,0.2148,0.5965
23,0.2171,0.4310
24,0.2406,0.4340
25,0.2469,0.6897
26,0.1597,0.4912
27,0.2860,0.5714
28,0.2911,0.6111
29,0.1835,0.5200
30,0.1957,0.4211
31,0.2147,0.4737
32,0.1543,0.3148
33,0.2102,0.5536
34,0.2034,0.4386
35,0.2964,0.6250
36,0.2936,0.6207
37,0.1889,0.4906
38,0.2284,0.4746
39,0.2539,0.5690
40,0.1865,0.4737
41,0.3761,0.7593
42,0.2938,0.6207
43,0.2188,0.5763
44,0.3832,0.7833
45,0.2007,0.3833
46,0.2517,0.4906
47,0.2519,0.5179
48,0.2848,0.5000
49,0.3277,0.6981
50,0.2757,0.6949
51,0.2188,0.4912
52,0.2887,0.6786
53,0.2229,0.4727
54,0.4465,0.8214
55,0.3352,0.6842
56,0.2956,0.7963
57,0.2807,0.7091
58,0.3269,0.6724
59,0.3475,1.0408
60,0.2567,0.6842
61,0.2801,0.6842
62,0.3438,0.6780
63,0.3166,0.8491
64,0.3137,0.5439
65,0.2934,1.0357
66,0.3770,0.9455
67,0.4322,1.0370
68,0.3302,0.7321
69,0.2427,0.5714
70,0.3422,0.7321
71,0.4485,0.9636
72,0.2904,0.6552
73,0.3430,0.7193
74,0.3180,0.6102
75,0.1741,0.5167
76,0.2338,0.5667
77,0.4026,0.6034
78,0.2227,0.5167
79,0.3301,0.5714
80,0.3943,0.6607
81,0.1925,0.4655
82,0.2387,0.6724
83,0.2264,0.5167
84,0.2924,0.7667
85,0.3002,0.6964
86,0.3674,0.7000
87,0.2661,0.5333
88,0.2575,0.4500
89,0.2963,0.5167
90,0.2690,0.5167
91,0.1615,0.4167
92,0.2737,0.4833
93,0.2447,0.4167
94,0.1680,0.3667
95,0.2192,0.5167
96,0.2696,0.5167
97,0.1270,0.3500
98,0.2274,0.4333
99,0.3533,0.6897
100,0.2892,0.5172
101,0.2524,0.5167
102,0.2399,0.4828
103,0.2158,0.4167
104,0.3015,0.6333
105,0.2191,0.3833
106,0.1743,0.3214
107,0.2753,0.5517
108,0.2034,0.6379
109,0.3729,0.6964
110,0.3765,0.7167
111,0.2395,0.6897
112,0.2275,0.4667
113,0.3157,0.7241
114,0.2723,0.6552
115,0.3143,0.5833
116,0.3106,0.7000
117,0.2604,0.5345
118,0.3057,0.6333
119,0.3718,0.7667
120,0.2646,0.6552
121,0.2373,0.5172
122,0.3049,0.6333
123,0.2681,0.5667
124,0.2707,0.5000
125,0.2743,0.6207
126,0.2436,0.5333
127,0.3540,0.6167
128,0.2643,0.5500
129,0.2656,0.5333
130,0.4070,0.7333
131,0.3457,0.7333
132,0.3333,0.6167
133,0.4514,0.8333
134,0.3510,0.5862
135,0.3805,0.8571
136,0.3447,0.7500
137,0.2525,0.7167
138,0.2886,0.6379
139,0.2823,0.6071
140,0.3536,0.6964
141,0.3347,0.5833
142,0.2485,0.6000
143,0.2583,0.6000
144,0.3543,0.6897
145,0.3775,0.6833
146,0.2862,0.7333
147,0.2568,0.6034
148,0.2519,0.6111
149,0.3362,0.7000
150,0.3659,1.1667
