Batch,CER,WER
0,0.7778,2.0182
1,0.7351,1.5167
2,0.6994,1.5000
3,0.7262,1.6667
4,0.6894,1.4386
5,0.6926,1.5769
6,0.7232,1.5965
7,0.7620,1.8421
8,0.7983,2.2931
9,0.7065,1.9483
10,0.7143,1.6552
11,0.7223,1.7759
12,0.7198,1.7647
13,0.7318,1.5926
14,0.6820,1.4815
15,0.7062,2.0000
16,0.7199,1.5192
17,0.7033,1.7857
18,0.7151,1.8000
19,0.7259,1.8727
20,0.7306,1.4912
21,0.7264,1.7500
22,0.7433,1.8772
23,0.7291,1.5000
24,0.7050,1.3962
25,0.7266,1.6207
26,0.7132,1.8246
27,0.7120,1.3929
28,0.7505,2.0741
29,0.7155,1.7800
30,0.7301,1.9123
31,0.7062,1.4561
32,0.6978,1.3148
33,0.7235,1.5357
34,0.7269,1.4211
35,0.7242,1.5179
36,0.7064,1.3621
37,0.7228,1.4528
38,0.7292,1.5593
39,0.7116,1.5862
40,0.7389,1.4561
41,0.7370,1.6481
42,0.7063,1.3103
43,0.7266,1.6949
44,0.7383,1.5333
45,0.7251,1.3500
46,0.7229,1.1698
47,0.7023,1.4464
48,0.7215,1.2963
49,0.7307,1.5849
50,0.7514,1.7288
51,0.7025,1.4035
52,0.7155,1.3929
53,0.7229,1.7818
54,0.7131,1.3929
55,0.6989,1.2281
56,0.7298,1.3148
57,0.7173,1.6000
58,0.7030,1.6379
59,0.7040,1.7959
60,0.7319,1.8246
61,0.7120,1.4912
62,0.7283,1.7288
63,0.7297,2.0000
64,0.7403,1.8596
65,0.7406,1.7679
66,0.7137,1.5818
67,0.7151,1.6481
68,0.7298,1.4286
69,0.6862,1.5000
70,0.7543,1.7321
71,0.7189,1.3273
72,0.7114,1.7586
73,0.7437,2.2281
74,0.6925,1.3898
75,0.7190,1.7833
76,0.7132,1.2833
77,0.7297,1.5690
78,0.7101,1.4667
79,0.6986,1.0893
80,0.7317,1.6071
81,0.7035,1.7414
82,0.7162,1.7069
83,0.7245,1.3667
84,0.7342,1.6667
85,0.7209,1.6607
86,0.7065,1.2667
87,0.7317,1.2667
88,0.6775,1.1667
89,0.7495,1.5333
90,0.7514,1.8500
91,0.7140,1.3333
92,0.6947,1.3333
93,0.7165,1.5333
94,0.6973,1.4500
95,0.6913,1.4167
96,0.7380,1.5833
97,0.6865,1.4167
98,0.6755,1.3833
99,0.6880,1.5000
100,0.7130,1.5345
101,0.6951,1.3000
102,0.7513,1.9828
103,0.7168,1.4500
104,0.7261,1.4500
105,0.6948,1.4333
106,0.7364,1.2143
107,0.7048,1.2241
108,0.7065,1.3448
109,0.7271,1.4643
110,0.7243,1.6167
111,0.7148,1.7586
112,0.7167,1.4833
113,0.7267,1.3793
114,0.7213,1.2414
115,0.8067,2.2833
116,0.7709,2.0000
117,0.7208,1.3793
118,0.7440,1.7000
119,0.7078,1.4500
120,0.7125,1.5000
121,0.6898,1.8103
122,0.7462,1.6667
123,0.6986,1.4500
124,0.7091,1.5893
125,0.7276,1.4483
126,0.7106,1.6000
127,0.7120,1.3667
128,0.6977,1.3000
129,0.7031,1.2000
130,0.7211,1.3167
131,0.7234,1.7333
132,0.7026,1.3500
133,0.7802,2.1167
134,0.6961,1.4310
135,0.7072,1.6429
136,0.7214,1.8393
137,0.7091,1.4833
138,0.7174,1.4138
139,0.7177,1.1429
140,0.7072,1.1250
141,0.6917,1.3833
142,0.6756,1.3667
143,0.7211,1.4167
144,0.7130,1.2069
145,0.7477,1.9000
146,0.7045,1.4000
147,0.7077,1.3103
148,0.7367,2.5185
149,0.6915,1.3500
150,0.7561,1.1667
