Batch,CER,WER
0,0.2949,0.7273
1,0.2190,0.5833
2,0.5167,1.1379
3,0.3294,0.9074
4,0.5176,1.2281
5,0.3658,1.0769
6,0.2378,0.6667
7,0.4175,1.0351
8,0.2458,0.9310
9,0.2197,0.7241
10,0.2054,0.5690
11,0.2390,0.8966
12,0.3685,0.9608
13,0.3077,1.0000
14,0.3326,0.9444
15,0.5039,1.3396
16,0.2691,0.7500
17,0.1902,0.6429
18,0.1938,0.4500
19,0.2204,0.5818
20,0.1954,0.6140
21,0.2126,0.6786
22,0.1795,0.7368
23,0.2470,0.5345
24,0.3598,0.6981
25,0.1111,0.4828
26,0.1162,0.6140
27,0.2440,0.6607
28,0.2257,0.6481
29,0.2495,0.9200
30,0.1957,0.5965
31,0.1262,0.4386
32,0.2348,0.6481
33,0.2235,0.5357
34,0.3277,0.7368
35,0.1989,0.6964
36,0.2177,0.4655
37,0.1930,0.6604
38,0.2414,0.6271
39,0.2090,0.6034
40,0.2238,0.6842
41,0.3761,1.1111
42,0.3021,0.8103
43,0.5547,1.1356
44,0.2467,0.5833
45,0.1193,0.3667
46,0.2725,0.7547
47,0.3473,0.8750
48,0.2700,0.7593
49,0.3522,0.9434
50,0.2793,0.8136
51,0.4242,0.8421
52,0.2948,0.6786
53,0.3594,0.8182
54,0.4808,1.1607
55,0.4602,0.9825
56,0.5912,1.4630
57,0.5468,1.3273
58,0.2953,0.8966
59,0.5874,1.7143
60,0.3289,0.9298
61,0.2722,0.8070
62,0.3105,0.7458
63,0.2355,0.6226
64,0.3272,0.9474
65,0.2970,1.0357
66,0.4294,1.1273
67,0.5933,1.8889
68,0.4784,1.2143
69,0.4707,1.4643
70,0.2552,1.0536
71,0.3176,1.0909
72,0.3346,1.0690
73,0.4798,1.3509
74,0.4540,1.0339
75,0.1897,0.4833
76,0.2534,0.5667
77,0.2514,0.5862
78,0.3067,0.7000
79,0.2201,0.4286
80,0.2541,0.6607
81,0.2146,0.4483
82,0.2857,0.6207
83,0.2151,0.5500
84,0.2065,0.5500
85,0.2304,0.5179
86,0.2565,0.6000
87,0.3509,0.6833
88,0.2506,0.4500
89,0.2157,0.5000
90,0.1558,0.4333
91,0.1984,0.4333
92,0.2105,0.3500
93,0.1709,0.3500
94,0.1621,0.4333
95,0.2103,0.5500
96,0.2065,0.5333
97,0.1508,0.4667
98,0.2848,0.5000
99,0.4711,0.9138
100,0.3929,0.9310
101,0.3379,0.8833
102,0.3245,1.0000
103,0.4162,0.9833
104,0.4393,1.0500
105,0.2341,0.6167
106,0.4052,1.1429
107,0.4626,0.9483
108,0.3585,0.6897
109,0.3063,0.8214
110,0.4177,0.7667
111,0.1654,0.5345
112,0.2511,0.6167
113,0.4364,0.7414
114,0.4468,0.8448
115,0.2857,0.8167
116,0.4383,0.9667
117,0.3854,0.8966
118,0.4512,1.4167
119,0.4294,0.9167
120,0.4979,1.0000
121,0.2881,0.7241
122,0.3580,0.9333
123,0.3659,0.7667
124,0.4384,1.2679
125,0.2549,0.5862
126,0.2070,0.5500
127,0.2140,0.5167
128,0.3510,0.8000
129,0.2598,0.5500
130,0.5579,1.3500
131,0.3528,1.3333
132,0.3593,1.0333
133,0.5545,1.2833
134,0.7235,2.1552
135,0.9343,2.3036
136,0.6754,1.8393
137,0.7859,2.2833
138,0.4890,1.3448
139,0.5908,1.4821
140,0.7267,1.6250
141,0.4807,1.3167
142,0.8891,1.8500
143,0.5083,1.1833
144,0.9739,2.1897
145,0.9705,2.7167
146,1.1840,2.9333
147,1.3006,3.1034
148,1.0625,3.1111
149,0.9191,2.1667
150,1.0488,2.1667
