Batch,CER,WER
0,0.0808,0.2182
1,0.0849,0.3167
2,0.0786,0.2586
3,0.1210,0.3519
4,0.0414,0.1053
5,0.0693,0.2308
6,0.0136,0.0526
7,0.0167,0.1228
8,0.0271,0.1379
9,0.0422,0.2414
10,0.0643,0.2759
11,0.0369,0.2931
12,0.1358,0.3922
13,0.0582,0.2037
14,0.0690,0.2593
15,0.0934,0.3396
16,0.0722,0.1923
17,0.0750,0.2857
18,0.0581,0.1833
19,0.0204,0.0727
20,0.0285,0.1404
21,0.0531,0.1071
22,0.0906,0.2632
23,0.0199,0.1034
24,0.0293,0.1509
25,0.0600,0.3276
26,0.0762,0.4035
27,0.0460,0.2143
28,0.0673,0.3333
29,0.1588,0.3800
30,0.0562,0.1930
31,0.0942,0.2632
32,0.0283,0.1667
33,0.0597,0.1964
34,0.0734,0.2105
35,0.0882,0.3036
36,0.0041,0.0517
37,0.0616,0.2264
38,0.1191,0.2881
39,0.0086,0.1552
40,0.0977,0.2982
41,0.1217,0.3519
42,0.0312,0.1207
43,0.0430,0.2373
44,0.1290,0.3333
45,0.0778,0.2333
46,0.0416,0.0755
47,0.0802,0.1786
48,0.0928,0.3148
49,0.0659,0.1698
50,0.0613,0.2034
51,0.0768,0.1579
52,0.0866,0.2679
53,0.0281,0.1818
54,0.0869,0.2679
55,0.0189,0.0877
56,0.0924,0.3148
57,0.0229,0.1818
58,0.0756,0.3103
59,0.0717,0.3469
60,0.0856,0.2807
61,0.0671,0.3158
62,0.0462,0.1525
63,0.0927,0.3208
64,0.0860,0.3158
65,0.1038,0.3571
66,0.1069,0.3455
67,0.0668,0.2407
68,0.1238,0.5000
69,0.1025,0.3036
70,0.0378,0.1429
71,0.0708,0.1636
72,0.0754,0.4310
73,0.0751,0.3860
74,0.0669,0.1695
75,0.0552,0.2000
76,0.0295,0.1000
77,0.1304,0.3621
78,0.1176,0.3667
79,0.1148,0.2321
80,0.0366,0.2321
81,0.0332,0.0862
82,0.0587,0.1724
83,0.0887,0.2833
84,0.0511,0.2000
85,0.0782,0.1250
86,0.0457,0.3000
87,0.0894,0.2833
88,0.0464,0.1667
89,0.0523,0.1333
90,0.0241,0.0833
91,0.0467,0.1667
92,0.0126,0.0500
93,0.0835,0.2667
94,0.0293,0.0833
95,0.0336,0.2500
96,0.0421,0.1333
97,0.0417,0.1000
98,0.0088,0.0500
99,0.0826,0.2241
100,0.0530,0.1724
101,0.0602,0.2333
102,0.0511,0.1724
103,0.0270,0.1333
104,0.0754,0.3000
105,0.0618,0.1667
106,0.0741,0.1964
107,0.0463,0.2241
108,0.0755,0.2759
109,0.0792,0.2679
110,0.0926,0.2833
111,0.0608,0.3103
112,0.0858,0.1833
113,0.0508,0.1552
114,0.0894,0.3103
115,0.1193,0.3500
116,0.0991,0.1667
117,0.0875,0.2069
118,0.0718,0.2167
119,0.0915,0.2333
120,0.0729,0.1552
121,0.0814,0.2241
122,0.0625,0.2000
123,0.0333,0.1333
124,0.1172,0.3393
125,0.0798,0.3621
126,0.0879,0.2500
127,0.0520,0.1167
128,0.0867,0.2167
129,0.0195,0.1500
130,0.1157,0.2333
131,0.1152,0.2667
132,0.0739,0.2167
133,0.0817,0.2167
134,0.0196,0.0862
135,0.1474,0.3571
136,0.1824,0.5000
137,0.1232,0.3333
138,0.1343,0.1897
139,0.0591,0.2321
140,0.1627,0.3036
141,0.0629,0.2500
142,0.0780,0.2667
143,0.0413,0.1667
144,0.1674,0.3448
145,0.0866,0.3000
146,0.0799,0.3500
147,0.0731,0.2759
148,0.0871,0.3519
149,0.1021,0.3000
150,0.0000,0.0000
