Batch,CER,WER
0,0.2970,0.7455
1,0.1732,0.5667
2,0.4126,1.2069
3,0.4365,1.2593
4,0.3085,0.7018
5,0.5065,1.3462
6,0.1930,0.5439
7,0.7871,1.4912
8,0.1220,0.5862
9,0.1441,0.6207
10,0.3375,0.8793
11,0.3163,1.2069
12,0.5345,1.4314
13,0.4553,0.9815
14,0.7364,1.5370
15,0.3074,0.9623
16,0.4945,1.1154
17,0.1518,0.5357
18,0.2190,0.6333
19,0.1759,0.5273
20,0.1822,0.4561
21,0.2500,0.7500
22,0.1376,0.6491
23,0.5139,1.2241
24,0.8075,1.7358
25,0.3139,0.8793
26,0.1252,0.5965
27,0.2660,0.7500
28,0.3564,0.8704
29,0.5505,1.6200
30,0.1938,0.4912
31,0.1412,0.5789
32,0.4739,1.0741
33,0.2611,0.8214
34,0.1921,0.5088
35,0.2514,0.7857
36,0.3532,0.6207
37,0.2156,0.7170
38,0.1060,0.3729
39,0.0881,0.3276
40,0.1226,0.5088
41,0.3043,0.7222
42,0.1333,0.4138
43,0.1699,0.5593
44,0.0673,0.2500
45,0.0922,0.3000
46,0.2171,0.6792
47,0.1298,0.4286
48,0.2194,0.5741
49,0.1375,0.3585
50,0.1333,0.4915
51,0.1152,0.3509
52,0.1258,0.5357
53,0.0843,0.3455
54,0.3677,0.9643
55,0.0852,0.2281
56,0.5473,1.3333
57,0.2765,0.7455
58,0.1880,0.8793
59,0.7287,2.2449
60,0.2700,0.9649
61,0.4556,1.0351
62,0.1719,0.5085
63,0.3398,0.9811
64,0.1872,0.5789
65,0.3614,1.2143
66,0.4173,1.1455
67,0.5953,1.4630
68,0.3171,0.8571
69,0.5481,1.3214
70,0.1796,0.6071
71,0.2918,0.8182
72,0.4706,1.0172
73,0.2428,0.7895
74,0.3536,0.7288
75,0.1172,0.3500
76,0.1081,0.4000
77,0.1682,0.5000
78,0.1639,0.4167
79,0.1435,0.1964
80,0.0285,0.3036
81,0.1084,0.5000
82,0.2055,0.6034
83,0.3698,0.6833
84,0.1370,0.4833
85,0.1290,0.3571
86,0.1783,0.3667
87,0.1651,0.3833
88,0.4849,1.0167
89,0.1830,0.4167
90,0.0798,0.3833
91,0.1167,0.3000
92,0.0716,0.1833
93,0.1184,0.3000
94,0.0938,0.2500
95,0.1051,0.3667
96,0.1358,0.4667
97,0.1488,0.3500
98,0.1479,0.3167
99,0.2107,0.7586
100,0.4923,0.8276
101,0.2214,0.6333
102,0.3686,1.0517
103,0.2428,0.5500
104,0.3585,1.0333
105,0.0749,0.2667
106,0.3268,0.7500
107,0.3656,0.6552
108,0.9497,1.9828
109,0.5521,1.3571
110,0.3395,0.7833
111,0.4924,1.3621
112,0.7361,1.8167
113,0.9703,2.0345
114,1.3000,2.7414
115,0.6538,1.8667
116,1.5198,2.7000
117,0.4771,1.2069
118,0.7808,2.2167
119,0.5805,1.7833
120,1.0417,2.2414
121,0.4881,1.5000
122,0.6723,1.5167
123,0.5949,1.2500
124,0.5030,1.3571
125,0.6537,1.5690
126,0.4286,0.8667
127,0.3760,0.8667
128,0.4651,0.9333
129,0.3418,0.8833
130,0.7645,1.8000
131,0.4592,1.2667
132,0.1717,0.5000
133,0.3696,0.8833
134,0.8392,2.5690
135,1.0996,2.4107
136,0.6393,1.6786
137,1.2808,2.7333
138,0.2585,0.7069
139,0.1619,0.6607
140,0.4707,1.0536
141,0.4726,1.1167
142,0.6982,1.7833
143,0.4649,1.2833
144,1.0587,2.5690
145,1.8619,4.2167
146,1.0632,2.9167
147,1.6117,3.6552
148,1.6648,3.8704
149,0.7234,1.3000
150,0.1463,0.5000
