Batch,CER,WER
0,0.5091,0.9818
1,0.3854,0.9167
2,0.4145,0.7759
3,0.5238,1.2593
4,0.3934,0.8421
5,0.4286,1.0385
6,0.5283,0.9825
7,0.3987,0.8947
8,0.3932,0.8621
9,0.3919,0.7414
10,0.4089,0.7759
11,0.4288,1.0345
12,0.5151,1.1569
13,0.4096,0.7778
14,0.3389,0.8519
15,0.4981,1.0189
16,0.4114,0.8269
17,0.5288,0.9643
18,0.3295,0.6833
19,0.1981,0.4909
20,0.3814,0.8596
21,0.3622,0.6071
22,0.3691,0.9474
23,0.2968,0.5690
24,0.3661,0.6038
25,0.3175,0.7241
26,0.2777,0.7368
27,0.4580,0.8214
28,0.3505,0.7963
29,0.3938,0.9800
30,0.3243,0.9298
31,0.3465,0.8421
32,0.3326,0.6852
33,0.3673,0.7143
34,0.4200,0.7368
35,0.3921,0.8929
36,0.4394,0.7759
37,0.3799,0.8113
38,0.3948,0.8136
39,0.4370,0.9828
40,0.4352,1.0351
41,0.5543,1.1111
42,0.3958,0.8103
43,0.4297,1.0339
44,0.4879,0.9667
45,0.3617,0.6833
46,0.3118,0.7925
47,0.4103,0.8214
48,0.4916,0.9444
49,0.4859,1.1887
50,0.4432,1.0000
51,0.3512,0.8070
52,0.4495,1.0179
53,0.3394,0.7455
54,0.5051,1.0536
55,0.4186,0.7895
56,0.5820,1.1667
57,0.5281,1.1636
58,0.4376,0.8276
59,0.5493,1.4490
60,0.4829,1.1404
61,0.5128,1.0000
62,0.5065,0.9322
63,0.4730,1.1698
64,0.4182,1.0702
65,0.4007,1.0714
66,0.4556,1.0182
67,0.5521,1.3333
68,0.4503,1.0357
69,0.4184,0.9464
70,0.5255,1.0714
71,0.5086,1.0364
72,0.3897,0.7759
73,0.5260,1.3333
74,0.4414,0.7119
75,0.3276,0.8000
76,0.4361,0.8167
77,0.4839,0.9138
78,0.4832,1.0333
79,0.3947,0.8750
80,0.4187,0.7857
81,0.4093,1.0172
82,6.3366,5.8621
83,0.3830,0.7167
84,0.5174,1.0167
85,0.3890,0.9643
86,0.4870,0.9833
87,0.4243,0.8333
88,0.5336,0.8667
89,0.4292,0.8000
90,0.3859,0.8333
91,0.3268,0.6833
92,0.3684,0.7500
93,0.4699,0.8167
94,0.3320,0.6333
95,0.3937,0.7667
96,0.4398,0.7333
97,0.3056,0.7833
98,0.3444,0.6833
99,0.4256,0.8966
100,0.4393,0.8276
101,0.3379,0.6833
102,0.4550,0.9138
103,0.3353,0.7667
104,0.4871,1.0333
105,0.3109,0.6333
106,0.3464,0.7321
107,0.4846,0.9828
108,0.4109,1.0000
109,0.4938,0.9107
110,0.4835,1.1500
111,0.4962,1.0517
112,0.3970,0.8333
113,0.5148,1.0000
114,0.4787,0.8966
115,0.4807,1.0667
116,0.4846,0.8667
117,0.4854,1.0345
118,0.4991,1.0000
119,0.4911,1.0667
120,0.4958,0.9828
121,0.3932,0.6724
122,0.4318,0.8167
123,0.3992,0.8167
124,0.4323,0.8571
125,0.4397,0.9483
126,0.3864,0.8167
127,0.4860,0.9000
128,0.4461,0.7833
129,0.4355,0.9500
130,0.4525,0.8833
131,0.4167,1.1500
132,0.3892,0.7500
133,0.5798,0.9000
134,0.4863,0.8448
135,0.4622,0.8929
136,0.4649,1.0893
137,0.4768,0.8500
138,0.4549,0.9138
139,0.4595,1.0000
140,0.5336,1.0000
141,0.4523,0.8500
142,0.4127,0.7333
143,0.4298,0.8667
144,0.4087,0.8966
145,0.8932,3.3000
146,0.4926,0.9500
147,0.3674,0.7241
148,0.3826,0.8519
149,0.5340,1.1333
150,0.6098,1.1667
