file,language,model,refinement,cer_mean,cer_median,cer_std,cer_min,cer_max,wer_mean,wer_median,wer_std,wer_min,wer_max
afr_wav2vec_True_20250614_185525.csv,afr,wav2vec,True,0.39671589403973506,0.3085,0.3336746005993382,0.0285,1.8619,1.0091543046357616,0.7857,0.7287727558257018,0.1833,4.2167
afr_whisper-large_True_20250616_061427.csv,afr,whisper-large,True,0.2752960264900662,0.2707,0.06785604930969551,0.0759,0.4514,0.5986344370860927,0.5862,0.15161227040032546,0.2727,1.1667
afr_facebook-mms_True_20250609_123640.csv,afr,facebook-mms,True,0.37153642384105956,0.3077,0.21346220705049107,0.1111,1.3006,0.9550337748344372,0.8136,0.5306258433966938,0.35,3.1111
xho_facebook-mms_True_20250609_015049.csv,xho,facebook-mms,True,0.17345611510791367,0.1533,0.08069905379091714,0.034,0.4215,0.3885654676258994,0.3571,0.15398671329781455,0.1333,0.8833
zul_wav2vec_True_20250615_215940.csv,zul,wav2vec,True,0.12534326241134752,0.1141,0.06319088643438833,0.014,0.3438,0.2806602836879432,0.2667,0.11861023174708339,0.05,0.6607
xho_wav2vec_True_20250615_160226.csv,xho,wav2vec,True,0.173505035971223,0.1542,0.0859445591112436,0.0395,0.4415,0.3649748201438849,0.3276,0.1501242540968418,0.1,0.8667
afr_sm4t_True_20250614_160804.csv,afr,sm4t,True,0.07061788079470198,0.0722,0.03468601276597937,0.0,0.1824,0.2315867549668874,0.2321,0.09401932144352855,0.0,0.5
xho_lelapa_True_20250616_051708.csv,xho,lelapa,True,0.1936597122302158,0.1735,0.09214563053024528,0.0388,0.4397,0.4944539568345324,0.45,0.21791445858712974,0.1333,1.1167
zul_sm4t_True_20250614_152544.csv,zul,sm4t,True,0.3012517730496454,0.2879,0.1190498850103173,0.0734,1.1862,0.6436283687943262,0.6333,0.1730342545213655,0.2167,1.4
zul_facebook-mms_True_20250610_032017.csv,zul,facebook-mms,True,0.12970567375886524,0.1197,0.06970121621805854,0.0169,0.4043,0.31391205673758865,0.2833,0.15291291707780938,0.0667,1.0
