Batch,CER,WER
0,0.7050,1.2241
1,0.5978,0.8667
2,0.6950,1.2586
3,0.7206,1.0714
4,0.6973,1.1667
5,0.7146,1.0000
6,0.6468,1.0357
7,0.7101,1.0357
8,0.6730,1.0345
9,0.7081,1.2000
10,0.6612,0.9828
11,0.6488,1.0833
12,0.7095,1.4333
13,0.7118,1.0000
14,0.6031,0.9833
15,0.7106,0.9821
16,0.6892,1.1034
17,0.7000,1.3929
18,0.6882,1.0000
19,0.6844,0.9821
20,0.7146,1.1964
21,0.7095,1.0000
22,0.7245,1.0000
23,0.6784,0.9643
24,0.8180,2.1034
25,0.7206,1.7414
26,0.7068,1.1000
27,0.7013,1.1034
28,0.6813,1.3276
29,0.7026,1.3500
30,0.6816,1.3793
31,0.6768,0.9655
32,0.6920,1.0345
33,0.6785,1.0172
34,0.7373,1.2414
35,0.6756,1.2069
36,0.6503,0.9286
37,0.7011,1.1724
38,0.6822,1.0167
39,0.7165,0.9667
40,0.7156,1.1552
41,0.7471,1.7241
42,0.6706,0.9821
43,0.6707,1.0536
44,0.6695,1.2167
45,0.6242,1.0833
46,0.7014,0.9833
47,0.7078,1.0172
48,0.7422,1.0893
49,0.6896,1.0714
50,0.7202,1.1250
51,0.7127,1.1667
52,0.6558,1.3103
53,0.6767,1.0862
54,0.7273,1.7069
55,0.6829,1.2857
56,0.7177,1.1034
57,0.6867,0.9828
58,0.7056,1.2759
59,0.7258,0.9833
60,0.6609,1.4310
61,0.7178,1.5690
62,0.7047,1.1833
63,0.7017,1.0185
64,0.7002,1.0500
65,0.6869,1.2778
66,0.7152,1.1034
67,0.6846,0.9655
68,0.6936,1.2167
69,0.6667,0.9828
70,0.7084,1.0862
71,0.6691,1.0862
72,0.6728,1.3833
73,0.7097,1.4333
74,0.6688,1.1786
75,0.6907,1.2069
76,0.7028,1.2143
77,0.7115,1.0500
78,0.6907,1.1964
79,0.7034,1.2167
80,0.7049,1.2759
81,0.6979,1.3000
82,0.7087,1.2333
83,0.6861,1.4464
84,0.7516,1.7414
85,0.6643,1.0000
86,0.7134,1.1833
87,0.7328,1.1379
88,0.7228,1.2500
89,0.7009,1.3966
90,0.6872,1.0500
91,0.6754,1.1034
92,0.6879,1.1786
93,0.7107,1.4333
94,0.7260,1.1667
95,0.6918,1.1607
96,0.7234,0.9833
97,0.6878,0.9828
98,0.7156,1.0179
99,0.7268,0.9828
100,0.6776,1.1000
101,0.7035,1.1897
102,0.7044,1.2833
103,0.7192,1.2667
104,0.7154,1.3000
105,0.6990,1.2833
106,0.7263,1.4333
107,0.7280,1.9333
108,0.7040,1.6000
109,0.7277,1.8000
110,0.7484,1.2000
111,0.7343,1.8000
112,0.7098,1.5167
113,0.7164,1.5500
114,0.7069,1.4833
115,0.7195,1.2667
116,0.7449,1.8333
117,0.7349,1.6833
118,0.6979,1.6833
119,0.7099,1.3000
120,0.7250,1.4167
121,0.7190,1.5167
122,0.6677,1.4576
123,0.7087,1.3667
124,0.7220,1.2667
125,0.7106,1.7167
126,0.7226,1.4667
127,0.7201,1.4667
128,0.7217,1.2333
129,0.7062,1.2167
130,0.7178,1.9667
131,0.7388,1.7667
132,0.7194,1.8333
133,0.7372,1.2667
134,0.7076,1.6333
135,0.7125,1.4667
136,0.7172,1.8667
137,0.7255,1.6000
138,0.6972,1.4667
