Batch,CER,WER
0,0.1736,0.4828
1,0.1079,0.1500
2,0.1002,0.2241
3,0.1508,0.3571
4,0.1391,0.2833
5,0.1721,0.4464
6,0.1651,0.4107
7,0.0899,0.1429
8,0.1445,0.2414
9,0.1361,0.3333
10,0.2523,0.5690
11,0.0814,0.3000
12,0.1261,0.3500
13,0.2581,0.5000
14,0.1413,0.2500
15,0.1647,0.4286
16,0.1622,0.2586
17,0.2125,0.4464
18,0.1727,0.3214
19,0.0778,0.1786
20,0.1124,0.3571
21,0.1397,0.2833
22,0.1164,0.3103
23,0.1385,0.2857
24,0.1685,0.2931
25,0.0945,0.2069
26,0.1466,0.2833
27,0.1580,0.3966
28,0.0647,0.2414
29,0.0778,0.2833
30,0.0852,0.2241
31,0.1148,0.2414
32,0.1816,0.3621
33,0.2608,0.5345
34,0.0728,0.2931
35,0.1387,0.2931
36,0.0769,0.2321
37,0.1462,0.2586
38,0.1689,0.3000
39,0.1231,0.2333
40,0.1943,0.4483
41,0.1972,0.4310
42,0.1456,0.4464
43,0.1065,0.2679
44,0.1095,0.3667
45,0.2760,0.6833
46,0.1131,0.3167
47,0.2169,0.4138
48,0.0756,0.1964
49,0.1872,0.3393
50,0.1063,0.1964
51,0.1024,0.3000
52,0.1279,0.2586
53,0.1860,0.3276
54,0.1064,0.2586
55,0.1330,0.3036
56,0.1487,0.2759
57,0.1533,0.3793
58,0.1636,0.2586
59,0.1730,0.3500
60,0.1058,0.1724
61,0.2092,0.4483
62,0.0591,0.2000
63,0.1002,0.1852
64,0.1049,0.2500
65,0.0922,0.2407
66,0.1326,0.3103
67,0.1785,0.4483
68,0.1085,0.2667
69,0.1389,0.2759
70,0.1901,0.3793
71,0.1463,0.2931
72,0.1179,0.3000
73,0.1737,0.5000
74,0.2165,0.4821
75,0.1721,0.4483
76,0.1584,0.3393
77,0.2740,0.4333
78,0.1106,0.3393
79,0.1471,0.3167
80,0.1780,0.4483
81,0.1419,0.2833
82,0.1283,0.3167
83,0.1390,0.3571
84,0.1916,0.4310
85,0.1878,0.4107
86,0.2004,0.5667
87,0.3556,0.6552
88,0.3347,0.6333
89,0.2817,0.5690
90,0.3189,0.5500
91,0.2961,0.5690
92,0.2435,0.5536
93,0.2870,0.4667
94,0.2446,0.5667
95,0.2626,0.4464
96,0.3333,0.5167
97,0.3167,0.6897
98,0.3077,0.4821
99,0.3810,0.6379
100,0.2430,0.4333
101,0.3211,0.5345
102,0.2879,0.5500
103,0.1708,0.5167
104,0.3592,0.7500
105,0.2793,0.5333
106,0.1602,0.4833
107,0.3648,0.6333
108,0.2669,0.5333
109,0.4215,0.8833
110,0.3592,0.7333
111,0.2478,0.8000
112,0.1841,0.6333
113,0.2620,0.6167
114,0.3237,0.7333
115,0.3531,0.8500
116,0.1166,0.3667
117,0.1370,0.3000
118,0.1583,0.4000
119,0.1802,0.4167
120,0.1490,0.3333
121,0.1130,0.2667
122,0.1354,0.4407
123,0.0793,0.1667
124,0.0837,0.2667
125,0.0480,0.2500
126,0.1265,0.3167
127,0.0723,0.1500
128,0.0340,0.1333
129,0.1494,0.3667
130,0.1126,0.3833
131,0.1372,0.4000
132,0.1843,0.3833
133,0.1587,0.4000
134,0.1649,0.4500
135,0.0623,0.2333
136,0.1864,0.5333
137,0.0865,0.1833
138,0.1262,0.4667
