Batch,CER,WER
0,0.1653,0.5517
1,0.1348,0.2500
2,0.0828,0.2931
3,0.1752,0.3750
4,0.1329,0.3000
5,0.2092,0.5714
6,0.1812,0.5714
7,0.1191,0.3929
8,0.2275,0.5517
9,0.1538,0.4500
10,0.3738,0.7759
11,0.0942,0.3000
12,0.2275,0.6333
13,0.2957,0.6852
14,0.1726,0.4000
15,0.1318,0.4286
16,0.1824,0.4310
17,0.3200,0.7857
18,0.2254,0.5179
19,0.0511,0.1964
20,0.1730,0.3929
21,0.0754,0.2000
22,0.1900,0.5000
23,0.0986,0.2500
24,0.1124,0.2586
25,0.0882,0.1724
26,0.1335,0.2667
27,0.1732,0.4310
28,0.0947,0.3448
29,0.0539,0.2333
30,0.0942,0.1724
31,0.1218,0.2759
32,0.1793,0.4138
33,0.2152,0.3448
34,0.0839,0.3621
35,0.1029,0.2759
36,0.2821,0.6429
37,0.1699,0.3621
38,0.1556,0.5333
39,0.1033,0.2000
40,0.1896,0.5345
41,0.1578,0.4138
42,0.2959,0.8036
43,0.1138,0.2679
44,0.1200,0.2500
45,0.3715,1.0333
46,0.1584,0.3500
47,0.2215,0.6552
48,0.1022,0.2679
49,0.2109,0.4286
50,0.1388,0.2321
51,0.0891,0.3000
52,0.1349,0.2931
53,0.3140,0.6724
54,0.0998,0.3448
55,0.2727,0.8214
56,0.1595,0.3448
57,0.1822,0.5172
58,0.1519,0.2759
59,0.1169,0.2833
60,0.1425,0.4310
61,0.1460,0.4310
62,0.1181,0.2000
63,0.0782,0.2222
64,0.1113,0.2167
65,0.1481,0.5370
66,0.2065,0.7069
67,0.2812,0.6552
68,0.2596,0.5000
69,0.1970,0.4138
70,0.2225,0.5862
71,0.2566,0.5345
72,0.1280,0.3333
73,0.2818,0.7833
74,0.2597,0.6250
75,0.2651,0.8276
76,0.1735,0.4286
77,0.2356,0.6667
78,0.1851,0.6786
79,0.1287,0.3333
80,0.2155,0.6724
81,0.1716,0.3000
82,0.1370,0.3833
83,0.0830,0.2857
84,0.2421,0.7931
85,0.3897,0.9286
86,0.2004,0.6333
87,0.4397,0.9310
88,0.3426,0.6000
89,0.2948,0.7586
90,0.3230,0.6000
91,0.3509,0.6724
92,0.3144,0.7500
93,0.2984,0.5333
94,0.3092,0.6833
95,0.2808,0.5536
96,0.3084,0.6333
97,0.2805,0.7759
98,0.4033,0.9107
99,0.3810,0.6207
100,0.2313,0.4500
101,0.3211,0.5690
102,0.1823,0.5167
103,0.1790,0.5167
104,0.3699,1.1000
105,0.2441,0.5167
106,0.1649,0.4833
107,0.3552,0.6333
108,0.2515,0.5333
109,0.4277,0.9167
110,0.3671,0.8000
111,0.2433,0.8667
112,0.2769,0.9500
113,0.2537,0.6000
114,0.3382,0.9167
115,0.3564,1.1167
116,0.1429,0.5000
117,0.1355,0.3000
118,0.1599,0.3667
119,0.2054,0.6000
120,0.1060,0.3667
121,0.1240,0.3000
122,0.1827,0.7458
123,0.0728,0.1833
124,0.0821,0.3667
125,0.1019,0.3000
126,0.1387,0.3667
127,0.0770,0.1833
128,0.0388,0.1333
129,0.1299,0.3500
130,0.1060,0.4667
131,0.1818,0.5833
132,0.1485,0.3833
133,0.1041,0.3667
134,0.1213,0.4167
135,0.0479,0.2500
136,0.1943,0.6167
137,0.0782,0.2167
138,0.1262,0.5667
