Batch,CER,WER
0,0.2071,0.4310
1,0.1146,0.2000
2,0.0763,0.2241
3,0.1375,0.2500
4,0.0654,0.2167
5,0.1242,0.3750
6,0.1560,0.3571
7,0.1213,0.2679
8,0.1588,0.3621
9,0.1065,0.2500
10,0.2360,0.4310
11,0.0985,0.2833
12,0.1779,0.3167
13,0.2256,0.4444
14,0.1928,0.3333
15,0.1412,0.3214
16,0.1577,0.2759
17,0.1725,0.4464
18,0.1847,0.4107
19,0.0978,0.1429
20,0.0517,0.1250
21,0.1242,0.2333
22,0.1164,0.3276
23,0.0986,0.1964
24,0.0742,0.1897
25,0.0651,0.1552
26,0.1532,0.3167
27,0.1688,0.3448
28,0.0647,0.1897
29,0.0838,0.2833
30,0.1256,0.2241
31,0.1335,0.2931
32,0.1770,0.3621
33,0.1570,0.3103
34,0.0795,0.2586
35,0.1432,0.2759
36,0.1352,0.3036
37,0.1398,0.3448
38,0.1933,0.3000
39,0.1143,0.2333
40,0.1445,0.3276
41,0.1647,0.3621
42,0.0883,0.2679
43,0.1622,0.3036
44,0.1263,0.2833
45,0.1826,0.4667
46,0.1154,0.2167
47,0.2283,0.4310
48,0.1311,0.3036
49,0.1398,0.3214
50,0.1453,0.3036
51,0.1514,0.3500
52,0.1070,0.2931
53,0.1977,0.3276
54,0.0909,0.2586
55,0.1508,0.3571
56,0.0970,0.2586
57,0.1778,0.3621
58,0.1542,0.2759
59,0.1236,0.2833
60,0.1425,0.2759
61,0.2263,0.4138
62,0.0631,0.1833
63,0.0880,0.2407
64,0.0835,0.2000
65,0.1141,0.2407
66,0.1543,0.3103
67,0.1394,0.3103
68,0.1596,0.3833
69,0.1313,0.2759
70,0.1490,0.3276
71,0.1966,0.3448
72,0.1138,0.2167
73,0.1695,0.3500
74,0.1623,0.3393
75,0.1163,0.2241
76,0.1475,0.2321
77,0.1635,0.3500
78,0.1558,0.3214
79,0.1701,0.3500
80,0.1522,0.3103
81,0.1739,0.2833
82,0.1565,0.4000
83,0.0830,0.3393
84,0.1284,0.2414
85,0.1268,0.2321
86,0.1583,0.3500
87,0.3966,0.6552
88,0.3426,0.6167
89,0.2948,0.5172
90,0.3601,0.5833
91,0.3355,0.5690
92,0.1891,0.4286
93,0.2847,0.5333
94,0.2387,0.5167
95,0.2900,0.4643
96,0.3152,0.5000
97,0.2715,0.7414
98,0.3683,0.5000
99,0.4211,0.6552
100,0.2313,0.5000
101,0.3456,0.5862
102,0.2342,0.5000
103,0.2200,0.5667
104,0.3729,0.7333
105,0.2726,0.4833
106,0.1913,0.4333
107,0.4000,0.7000
108,0.3052,0.5833
109,0.4415,0.8667
110,0.3623,0.7500
111,0.3060,0.8667
112,0.2172,0.5167
113,0.2968,0.6333
114,0.3430,0.6500
115,0.3911,0.7333
116,0.1735,0.3833
117,0.1160,0.2833
118,0.1519,0.3000
119,0.2072,0.4833
120,0.1152,0.2667
121,0.1256,0.2333
122,0.1906,0.4068
123,0.0890,0.1667
124,0.0395,0.1167
125,0.0765,0.3000
126,0.1601,0.3833
127,0.0802,0.2500
128,0.0453,0.1000
129,0.1380,0.3333
130,0.1631,0.4167
131,0.1983,0.4833
132,0.1419,0.3500
133,0.1636,0.4333
134,0.1493,0.3833
135,0.0847,0.2000
136,0.1754,0.4667
137,0.1015,0.2667
138,0.1356,0.3333
