Batch,CER,WER
0,0.7589,1.7667
1,0.7316,1.2667
2,0.6948,1.6333
3,0.5982,1.0667
4,0.7054,1.3500
5,0.6742,1.3500
6,0.6648,1.4833
7,0.7039,1.5833
8,0.7668,1.8167
9,0.7193,1.3167
10,0.6900,1.1500
11,0.6748,1.2167
12,0.6982,1.2333
13,0.7066,1.2667
14,0.6856,1.0833
15,0.6667,1.1667
16,0.6950,1.4000
17,0.6875,1.1000
18,0.6897,1.2000
19,0.7372,2.0000
20,0.6375,1.3000
21,0.6735,1.3333
22,0.6338,1.1667
23,0.6823,1.3167
24,0.6908,1.5763
25,0.6789,1.1500
26,0.6571,1.2000
27,0.6918,1.2500
28,0.6822,1.0833
29,0.7127,1.0667
30,0.6591,1.2500
31,0.6441,1.2167
32,0.6805,1.2000
33,0.6542,1.1000
34,0.7030,1.5667
35,0.6842,1.4833
36,0.7339,1.2667
37,0.6864,1.6167
38,0.7121,1.8333
39,0.6732,1.2881
40,0.6464,1.3333
41,0.7104,1.2833
42,0.7145,1.4333
43,1.1179,3.3167
44,0.7042,1.2333
45,0.6829,1.2333
46,0.6833,1.4167
47,0.7271,1.2833
48,0.7076,1.6667
49,0.6277,1.4000
50,0.6870,1.4500
51,0.6976,1.4167
52,0.7474,2.0667
53,0.7914,1.9833
54,0.6954,1.5000
55,0.6340,1.2000
56,0.7029,1.2667
57,0.6913,1.1695
58,0.6476,1.1833
59,0.6926,1.3333
60,0.7017,1.2167
61,0.7017,1.0833
62,0.6408,1.2667
63,0.6607,1.2167
64,0.6903,1.3167
65,0.6773,1.3000
66,0.7086,1.4833
67,0.6618,1.3000
68,0.7246,1.5333
69,0.7241,1.4667
70,0.6746,1.3000
71,0.6688,1.2333
72,0.6565,1.1429
73,0.6385,1.4483
74,0.6803,1.2414
75,0.6990,1.5926
76,0.6787,1.2931
77,0.6972,1.3333
78,0.7140,1.3214
79,0.6773,1.5167
80,0.6768,1.1786
81,0.7145,1.4655
82,0.7077,1.4167
83,0.7040,1.2679
84,0.6970,1.2667
85,0.6928,1.4821
86,0.6882,1.3214
87,0.6816,1.2679
88,0.6995,1.5179
89,0.7066,1.4074
90,0.6852,1.4333
91,0.6558,1.3667
92,0.6781,1.4286
93,0.7407,2.3276
94,0.6409,1.4138
95,0.7295,1.7500
96,0.7103,1.1897
97,0.6983,1.2679
98,0.6577,1.3103
99,0.6862,1.7167
100,0.6959,1.5172
101,0.6696,1.4643
102,0.6750,1.6724
103,0.7066,1.3621
104,0.7021,1.5500
105,0.6632,1.4138
106,0.6858,1.3036
107,0.6749,1.1207
108,0.6619,1.3214
109,0.7279,1.6034
110,0.6875,1.5862
111,0.7211,1.7321
112,0.7067,1.2931
113,0.6906,1.6034
114,0.7181,1.3621
115,0.7288,1.8846
116,0.6457,1.2931
117,0.7102,1.4286
118,0.7098,1.2833
119,0.6239,1.3448
120,0.7034,1.7241
121,0.6867,1.5517
122,0.6948,1.6964
123,0.7174,1.3519
124,0.6917,1.4310
125,0.9947,2.8393
126,0.6966,1.5000
127,0.6915,1.3833
128,0.7199,1.7759
129,0.7058,1.3846
130,0.6938,1.3103
131,0.7196,1.6333
132,0.7184,1.5167
133,0.6533,1.1500
134,0.8084,2.2414
135,0.7049,1.4615
136,0.7360,1.7857
137,0.6916,1.7414
138,0.6897,1.4483
139,0.7088,1.4286
140,0.7059,1.3333
