Batch,CER,WER
0,0.0245,0.1000
1,0.1265,0.3000
2,0.0877,0.2333
3,0.0513,0.2000
4,0.1088,0.1833
5,0.1829,0.4167
6,0.0777,0.1500
7,0.0592,0.1667
8,0.1409,0.2833
9,0.0596,0.1667
10,0.0221,0.0500
11,0.0140,0.0667
12,0.0375,0.1500
13,0.0501,0.1500
14,0.0473,0.1167
15,0.0399,0.1000
16,0.0832,0.1833
17,0.0643,0.1500
18,0.0922,0.2000
19,0.0836,0.2500
20,0.1611,0.3333
21,0.0752,0.1500
22,0.0512,0.1167
23,0.0660,0.1667
24,0.0521,0.1356
25,0.0576,0.1667
26,0.2196,0.3667
27,0.0175,0.1667
28,0.0485,0.1667
29,0.1436,0.3000
30,0.0835,0.1667
31,0.0747,0.2500
32,0.0794,0.2000
33,0.1301,0.3000
34,0.1162,0.2667
35,0.1252,0.2667
36,0.0768,0.2167
37,0.1738,0.3500
38,0.0690,0.1833
39,0.1459,0.2542
40,0.1446,0.2833
41,0.0917,0.2333
42,0.1330,0.2667
43,0.0572,0.2167
44,0.0623,0.1667
45,0.0401,0.1000
46,0.1842,0.3000
47,0.1718,0.2833
48,0.1003,0.2333
49,0.0778,0.2833
50,0.0372,0.1167
51,0.1892,0.4000
52,0.1024,0.2500
53,0.1230,0.2667
54,0.0704,0.1833
55,0.0961,0.2500
56,0.0796,0.2000
57,0.0835,0.1864
58,0.0733,0.1500
59,0.0724,0.1833
60,0.1179,0.2167
61,0.1017,0.2333
62,0.1462,0.3333
63,0.1954,0.4167
64,0.1101,0.2167
65,0.1220,0.2833
66,0.0647,0.1667
67,0.1436,0.2167
68,0.0815,0.1667
69,0.1089,0.2333
70,0.2338,0.4000
71,0.0979,0.2667
72,0.1906,0.3929
73,0.1520,0.3448
74,0.1402,0.3621
75,0.1187,0.2593
76,0.1598,0.4138
77,0.1924,0.4333
78,0.1172,0.3036
79,0.1773,0.3833
80,0.1036,0.1786
81,0.1111,0.2586
82,0.2130,0.3833
83,0.3438,0.6607
84,0.2434,0.5000
85,0.1937,0.3929
86,0.3081,0.5893
87,0.1161,0.2679
88,0.0952,0.2500
89,0.1610,0.3519
90,0.0664,0.1667
91,0.0666,0.1167
92,0.0605,0.1607
93,0.0915,0.2069
94,0.1594,0.4310
95,0.1124,0.2308
96,0.1144,0.3448
97,0.1620,0.2679
98,0.0978,0.2414
99,0.1600,0.2833
100,0.1187,0.2414
101,0.1713,0.3214
102,0.0929,0.2241
103,0.1113,0.2931
104,0.1141,0.2833
105,0.1244,0.2414
106,0.0955,0.2321
107,0.1089,0.3448
108,0.1360,0.3571
109,0.1219,0.2931
110,0.1480,0.3793
111,0.1062,0.3214
112,0.0729,0.2069
113,0.2469,0.5172
114,0.1292,0.3276
115,0.1103,0.2885
116,0.1960,0.3621
117,0.1979,0.3393
118,0.1416,0.4000
119,0.1686,0.3448
120,0.2496,0.5000
121,0.1788,0.3448
122,0.1096,0.2321
123,0.1486,0.2963
124,0.1709,0.4655
125,0.1492,0.4286
126,0.0991,0.2333
127,0.0854,0.2833
128,0.1087,0.2241
129,0.2473,0.6346
130,0.2007,0.5690
131,0.2492,0.5000
132,0.2120,0.5167
133,0.1707,0.3500
134,0.1986,0.4483
135,0.2204,0.4615
136,0.3284,0.6250
137,0.1201,0.2069
138,0.1029,0.2241
139,0.1542,0.3571
140,0.2941,0.3333
