Batch,CER,WER
0,0.1354,0.6909
1,0.1036,0.5833
2,0.1238,0.6034
3,0.1409,0.8333
4,0.0911,0.5789
5,0.1450,0.7692
6,0.1053,0.6140
7,0.1253,0.5965
8,0.0814,0.4828
9,0.0844,0.4655
10,0.1089,0.6207
11,0.1301,0.8276
12,0.1078,0.6471
13,0.1164,0.6111
14,0.1276,0.6296
15,0.1420,0.8491
16,0.0985,0.6154
17,0.1326,0.8036
18,0.1066,0.6833
19,0.0444,0.3636
20,0.1025,0.5088
21,0.0728,0.4821
22,0.1124,0.7368
23,0.0797,0.5000
24,0.1234,0.5660
25,0.1323,0.7931
26,0.0962,0.6316
27,0.1080,0.6429
28,0.1069,0.6852
29,0.0969,0.6400
30,0.0707,0.4912
31,0.0923,0.5965
32,0.0717,0.3889
33,0.1239,0.6786
34,0.0998,0.5789
35,0.1388,0.7857
36,0.1622,0.7069
37,0.0780,0.5849
38,0.1126,0.6271
39,0.1088,0.6379
40,0.0906,0.6316
41,0.1848,0.8519
42,0.1604,0.7414
43,0.1250,0.6780
44,0.1720,0.8000
45,0.0995,0.4833
46,0.1201,0.5472
47,0.1011,0.5893
48,0.0949,0.5741
49,0.1337,0.8113
50,0.1586,0.8305
51,0.1171,0.6491
52,0.1381,0.7857
53,0.1124,0.6182
54,0.1657,0.9107
55,0.1402,0.7719
56,0.2079,0.9074
57,0.1642,0.8182
58,0.1634,0.8103
59,0.1951,1.0816
60,0.1407,0.7895
61,0.1913,0.8421
62,0.1405,0.7458
63,0.1834,0.9811
64,0.1332,0.6667
65,0.2075,1.1250
66,0.2157,0.9818
67,0.2358,1.1111
68,0.1801,0.8571
69,0.1381,0.6429
70,0.1985,0.8929
71,0.2639,1.0727
72,0.1562,0.7414
73,0.1618,0.8246
74,0.1548,0.7119
75,0.0862,0.5667
76,0.1041,0.6500
77,0.1569,0.6379
78,0.1239,0.6333
79,0.1699,0.6429
80,0.1667,0.6607
81,0.0885,0.5345
82,0.1624,0.7241
83,0.1113,0.6500
84,0.1575,0.8500
85,0.1776,0.7143
86,0.1935,0.7667
87,0.1583,0.5500
88,0.1462,0.5167
89,0.1481,0.5500
90,0.1224,0.6667
91,0.0798,0.5167
92,0.1137,0.5667
93,0.1107,0.5000
94,0.0879,0.4667
95,0.1320,0.5667
96,0.1358,0.5667
97,0.0774,0.4500
98,0.1148,0.5167
99,0.1426,0.7414
100,0.1214,0.5690
101,0.1437,0.5833
102,0.0952,0.5517
103,0.1079,0.5333
104,0.1673,0.7333
105,0.0824,0.5000
106,0.1089,0.5000
107,0.1454,0.6207
108,0.1551,0.6897
109,0.1688,0.7500
110,0.1728,0.7500
111,0.1255,0.7931
112,0.1159,0.5000
113,0.1716,0.7931
114,0.1511,0.6897
115,0.1277,0.6833
116,0.2181,0.7333
117,0.1187,0.5690
118,0.1492,0.6833
119,0.1789,0.8167
120,0.1500,0.7241
121,0.0949,0.6552
122,0.1458,0.7000
123,0.1135,0.6333
124,0.1273,0.5893
125,0.1693,0.7586
126,0.1099,0.7000
127,0.1580,0.7167
128,0.1247,0.6333
129,0.1230,0.5833
130,0.1880,0.7833
131,0.1507,0.7500
132,0.1657,0.7667
133,0.2004,0.8833
134,0.1275,0.6552
135,0.1952,0.8929
136,0.1864,0.8393
137,0.1414,0.8000
138,0.1483,0.7759
139,0.1575,0.7500
140,0.1800,0.7679
141,0.1684,0.6167
142,0.1540,0.7167
143,0.1736,0.6333
144,0.1870,0.7414
145,0.1676,0.7833
146,0.1747,0.8167
147,0.1524,0.7241
148,0.1420,0.7593
149,0.1872,0.7667
150,0.2439,1.1667
