Batch,CER,WER
0,1.0485,2.0182
1,0.7012,1.5167
2,0.6149,1.5000
3,0.6746,1.6667
4,0.6418,1.4561
5,0.7143,1.5962
6,0.6959,1.6140
7,0.8434,1.8421
8,0.9305,2.3103
9,0.7803,1.9655
10,0.6464,1.6552
11,0.6784,1.7759
12,0.6789,1.7647
13,0.7069,1.5926
14,0.6360,1.5000
15,0.7160,2.0000
16,0.6937,1.5192
17,0.6248,1.6250
18,0.8934,1.8000
19,0.7463,1.9091
20,0.6584,1.4912
21,0.7382,1.7500
22,0.7265,1.8772
23,0.6793,1.5000
24,0.6799,1.4151
25,0.6790,1.6207
26,0.7350,1.8246
27,0.6860,1.3929
28,0.9584,2.0741
29,0.7423,1.7800
30,0.9004,1.9123
31,0.6893,1.4561
32,0.6543,1.3333
33,0.7743,1.5357
34,0.7175,1.4386
35,0.6660,1.5179
36,0.6632,1.3621
37,0.6817,1.4528
38,0.6786,1.5593
39,0.6339,1.5862
40,0.6767,1.4737
41,0.7870,1.6481
42,0.6354,1.3103
43,0.8418,1.6949
44,0.7140,1.5333
45,0.6763,1.3500
46,0.6628,1.1698
47,0.6718,1.4464
48,0.6941,1.2963
49,0.7382,1.5849
50,0.7063,1.7288
51,0.6583,1.4211
52,0.6392,1.4107
53,0.9337,1.7818
54,0.6444,1.3929
55,0.6383,1.2281
56,0.6975,1.3148
57,0.6798,1.6000
58,0.6942,1.6552
59,0.7803,1.8367
60,0.7167,1.8421
61,0.7199,1.4912
62,0.6784,1.7458
63,0.7645,2.0000
64,0.6728,1.8772
65,0.8068,1.7679
66,0.6754,1.5818
67,0.6994,1.6481
68,0.7355,1.4286
69,0.7155,1.5357
70,0.7221,1.7321
71,0.7124,1.3273
72,0.6838,1.7586
73,0.9884,2.2281
74,0.6485,1.3729
75,0.7483,1.8000
76,0.6405,1.3833
77,0.7372,1.6724
78,0.7143,1.5333
79,0.6459,1.0893
80,0.7154,1.5893
81,1.0642,1.7931
82,0.7221,1.7414
83,0.6491,1.3667
84,0.8896,1.6667
85,0.8182,1.6607
86,0.7000,1.2833
87,0.7683,1.2833
88,0.6265,1.1833
89,0.8148,1.5500
90,0.6753,1.4500
91,0.6323,1.3333
92,0.6611,1.3333
93,0.7786,1.5000
94,0.7344,1.4833
95,0.6823,1.4333
96,0.6807,1.5833
97,0.6190,1.4167
98,0.6689,1.3833
99,0.6446,1.5000
100,0.7550,1.5345
101,0.6427,1.3000
102,0.8501,1.9828
103,0.6763,1.4500
104,0.6728,1.4500
105,0.5936,1.4500
106,0.6275,1.2143
107,0.6410,1.2241
108,0.7023,1.3621
109,0.7417,1.4643
110,0.8128,1.6333
111,0.7167,1.7586
112,0.7446,1.4833
113,0.6907,1.3793
114,0.6553,1.2586
115,0.8639,2.2833
116,1.1079,2.0167
117,0.6687,1.3793
118,0.7845,1.7000
119,0.6839,1.4500
120,0.7729,1.5345
121,0.6695,1.8103
122,0.7311,1.6667
123,0.6888,1.4667
124,0.7495,1.5893
125,0.6751,1.4483
126,0.7326,1.5833
127,0.6740,1.3833
128,0.6660,1.3000
129,0.6543,1.1667
130,0.6694,1.3000
131,0.8457,1.7500
132,0.6407,1.3333
133,0.9747,2.1333
134,0.7647,1.4310
135,0.6693,1.6786
136,0.8737,1.8393
137,0.6788,1.5000
138,0.6874,1.4310
139,0.6565,1.1607
140,0.6117,1.1250
141,0.6511,1.3833
142,0.6119,1.4000
143,0.6818,1.4167
144,0.6717,1.2069
145,0.9098,1.9000
146,0.6673,1.4167
147,0.6931,1.3103
148,1.1364,2.5370
149,0.7149,1.3500
150,0.7073,1.1667
