Batch,CER,WER
0,0.2000,1.0000
1,0.1171,0.7667
2,0.2731,1.2414
3,0.2044,1.0741
4,0.4058,1.3684
5,0.2749,1.2500
6,0.1637,0.8596
7,0.3570,1.1930
8,0.2186,1.2069
9,0.1476,0.9138
10,0.1232,0.7586
11,0.2355,1.0862
12,0.2953,1.0392
13,0.3202,1.2037
14,0.2636,1.1111
15,0.3152,1.4717
16,0.2319,0.9615
17,0.1204,0.9464
18,0.0853,0.6000
19,0.1222,0.8364
20,0.1537,0.7895
21,0.1772,0.9464
22,0.1292,0.9298
23,0.1394,0.7759
24,0.2490,0.9434
25,0.0776,0.6897
26,0.1034,0.8421
27,0.1440,0.8036
28,0.1564,0.8148
29,0.2495,1.1000
30,0.1105,0.7719
31,0.1356,0.6667
32,0.2152,0.9259
33,0.1615,0.7321
34,0.2090,0.9298
35,0.2083,0.9107
36,0.1376,0.7069
37,0.1376,0.8679
38,0.1207,0.8644
39,0.1485,0.7931
40,0.1332,0.8421
41,0.3000,1.2407
42,0.2167,1.0000
43,0.3770,1.3559
44,0.1215,0.7833
45,0.0868,0.5500
46,0.2679,1.0189
47,0.3187,1.0714
48,0.2194,1.0370
49,0.3107,1.1509
50,0.1856,1.0000
51,0.2726,1.0175
52,0.1402,0.7500
53,0.2028,1.0182
54,0.4101,1.3214
55,0.3352,1.2105
56,0.4919,1.6296
57,0.4761,1.4909
58,0.2320,1.0690
59,0.4664,1.8367
60,0.2433,1.0702
61,0.2485,1.0175
62,0.1479,0.9492
63,0.1467,0.8302
64,0.2293,1.1404
65,0.2182,1.1786
66,0.3488,1.2545
67,0.4401,2.0000
68,0.3734,1.4286
69,0.3619,1.5893
70,0.2703,1.2321
71,0.3262,1.2364
72,0.3272,1.2586
73,0.3584,1.4737
74,0.3431,1.1525
75,0.0828,0.6333
76,0.1159,0.7667
77,0.1248,0.7586
78,0.1639,0.9333
79,0.0957,0.5536
80,0.2134,0.8571
81,0.1504,0.6379
82,0.1644,0.8448
83,0.1453,0.7500
84,0.1166,0.7500
85,0.1416,0.6607
86,0.1065,0.6000
87,0.1560,0.8000
88,0.1601,0.6000
89,0.1525,0.7833
90,0.0816,0.6000
91,0.1712,0.6667
92,0.1011,0.5833
93,0.0893,0.5500
94,0.0859,0.5500
95,0.1007,0.7000
96,0.1338,0.7333
97,0.1071,0.6667
98,0.1391,0.7500
99,0.2438,1.1379
100,0.3885,1.0862
101,0.2602,1.0667
102,0.2593,1.1207
103,0.2408,1.1667
104,0.2721,1.1667
105,0.1479,0.8167
106,0.4096,1.3214
107,0.2335,1.0517
108,0.1866,0.7759
109,0.1938,1.0000
110,0.2531,0.8667
111,0.1369,0.8276
112,0.2146,0.7833
113,0.2691,0.9138
114,0.2426,0.9655
115,0.1529,0.9833
116,0.3502,1.1333
117,0.3042,1.0862
118,0.4070,1.5333
119,0.3002,1.0167
120,0.2667,1.1379
121,0.1831,0.9310
122,0.2955,1.0333
123,0.1996,0.9667
124,0.3636,1.4821
125,0.1732,0.7414
126,0.1154,0.7000
127,0.1760,0.7000
128,0.2579,0.9167
129,0.1289,0.7833
130,0.4298,1.5167
131,0.2855,1.3833
132,0.2774,1.1167
133,0.4475,1.3333
134,0.8333,2.1897
135,0.7510,2.3750
136,0.6212,1.9643
137,0.9495,2.3333
138,0.4048,1.5345
139,0.4486,1.5893
140,0.5813,1.7857
141,0.4848,1.4500
142,0.7125,1.8833
143,0.5434,1.3333
144,0.8478,2.2241
145,0.8435,2.7667
146,0.8773,2.9833
147,1.0063,3.1034
148,0.8542,3.1481
149,0.7872,2.2167
150,0.9756,2.3333
