Batch,CER,WER
0,0.1677,0.8000
1,0.0934,0.6167
2,0.2534,1.1897
3,0.2321,1.2963
4,0.1573,0.7719
5,0.2987,1.3654
6,0.0994,0.6140
7,0.3361,1.5439
8,0.0898,0.6552
9,0.0791,0.6897
10,0.1536,0.9138
11,0.2566,1.2586
12,0.3513,1.4902
13,0.2225,1.0185
14,0.4414,1.5741
15,0.2354,0.9434
16,0.2998,1.2115
17,0.0646,0.6250
18,0.1260,0.6667
19,0.0926,0.6000
20,0.0911,0.5263
21,0.1299,0.7679
22,0.1326,0.7018
23,0.3247,1.2586
24,0.4142,1.7925
25,0.1481,0.9310
26,0.1034,0.6491
27,0.1380,0.7500
28,0.2099,0.8889
29,0.3381,1.7000
30,0.0670,0.4912
31,0.1168,0.6491
32,0.2478,1.0926
33,0.2412,0.8750
34,0.1092,0.5965
35,0.1276,0.8571
36,0.1437,0.6897
37,0.1150,0.7170
38,0.0392,0.4576
39,0.0484,0.3966
40,0.0639,0.5789
41,0.1935,0.7778
42,0.0750,0.4828
43,0.1133,0.5932
44,0.0280,0.3000
45,0.0362,0.3000
46,0.1247,0.7358
47,0.0859,0.4643
48,0.1392,0.6481
49,0.0452,0.3774
50,0.0721,0.5932
51,0.0441,0.4386
52,0.0660,0.5893
53,0.0382,0.3818
54,0.1737,0.9643
55,0.0455,0.2982
56,0.2864,1.3333
57,0.1726,0.7455
58,0.1336,0.9310
59,0.5202,2.2653
60,0.1882,1.0351
61,0.2229,1.1228
62,0.0665,0.5254
63,0.2027,1.0000
64,0.0843,0.6667
65,0.2075,1.2679
66,0.2440,1.1818
67,0.2829,1.5556
68,0.1538,0.9107
69,0.2657,1.3571
70,0.0888,0.6250
71,0.3176,0.8727
72,0.2353,1.0517
73,0.1426,0.8421
74,0.2050,0.8136
75,0.0483,0.4167
76,0.0609,0.4333
77,0.0870,0.5172
78,0.0651,0.4500
79,0.0526,0.2500
80,0.0305,0.3393
81,0.1261,0.5517
82,0.1174,0.6379
83,0.1170,0.6500
84,0.0613,0.4833
85,0.0846,0.4107
86,0.0696,0.4333
87,0.0734,0.4000
88,0.2993,1.0667
89,0.0784,0.4833
90,0.0408,0.4333
91,0.0564,0.3667
92,0.0358,0.2000
93,0.0485,0.3500
94,0.0234,0.2000
95,0.0447,0.4000
96,0.0631,0.5000
97,0.0536,0.3833
98,0.0596,0.3333
99,0.1736,0.8103
100,0.2252,0.8621
101,0.1379,0.6500
102,0.2222,1.0862
103,0.1484,0.5667
104,0.1985,1.0833
105,0.0375,0.3000
106,0.1961,0.7857
107,0.1784,0.6897
108,0.5681,2.0172
109,0.3063,1.3571
110,0.2016,0.8000
111,0.3745,1.3793
112,0.5536,1.8333
113,0.6356,2.0690
114,0.7426,2.7931
115,0.3916,1.9000
116,0.7533,2.7167
117,0.3104,1.2586
118,0.7090,2.2667
119,0.4990,1.8000
120,0.5979,2.2414
121,0.3102,1.5862
122,0.3674,1.6167
123,0.3268,1.3167
124,0.2929,1.3750
125,0.4319,1.6034
126,0.1886,0.9167
127,0.2240,0.9000
128,0.2220,0.9667
129,0.1797,0.9333
130,0.3884,1.8500
131,0.2199,1.3000
132,0.0998,0.5833
133,0.1926,0.9667
134,0.5863,2.5172
135,0.5737,2.4464
136,0.4028,1.7143
137,0.7152,2.7333
138,0.1102,0.7931
139,0.1794,0.7857
140,0.2798,1.1071
141,0.2880,1.1667
142,0.4620,1.7833
143,0.3120,1.3500
144,0.7261,2.5690
145,0.9797,4.2333
146,0.7119,2.9500
147,0.9081,3.6552
148,0.8883,3.8889
149,0.3383,1.3833
150,0.0488,0.5000
