Batch,CER,WER
0,0.0941,0.6207
1,0.0584,0.3833
2,0.0523,0.3276
3,0.0510,0.2857
4,0.0450,0.3333
5,0.0632,0.5179
6,0.0894,0.4107
7,0.0404,0.3036
8,0.0711,0.4655
9,0.0592,0.3833
10,0.0678,0.4828
11,0.0471,0.3333
12,0.0631,0.3500
13,0.0802,0.5741
14,0.0650,0.4000
15,0.0471,0.3750
16,0.0518,0.3276
17,0.0750,0.5000
18,0.0767,0.5000
19,0.0400,0.2500
20,0.0449,0.3393
21,0.0443,0.3500
22,0.0713,0.4310
23,0.0423,0.2321
24,0.0427,0.3103
25,0.0399,0.2931
26,0.0853,0.4500
27,0.0736,0.4310
28,0.0393,0.2759
29,0.0639,0.4500
30,0.0336,0.2586
31,0.0515,0.3793
32,0.0713,0.4483
33,0.0658,0.3448
34,0.0419,0.3103
35,0.0626,0.3966
36,0.0583,0.4464
37,0.0688,0.4310
38,0.0800,0.3833
39,0.0549,0.2833
40,0.0877,0.4828
41,0.0626,0.4483
42,0.0573,0.3929
43,0.0557,0.3571
44,0.0589,0.3833
45,0.1168,0.6167
46,0.0611,0.3000
47,0.0936,0.5172
48,0.0733,0.4107
49,0.0758,0.4286
50,0.0629,0.4107
51,0.0646,0.4500
52,0.0628,0.3448
53,0.0860,0.4138
54,0.0576,0.3966
55,0.0710,0.4464
56,0.0560,0.3966
57,0.0778,0.4828
58,0.0561,0.3793
59,0.0427,0.3167
60,0.0626,0.3966
61,0.0560,0.4828
62,0.0550,0.3167
63,0.0342,0.2593
64,0.0428,0.3667
65,0.0485,0.3333
66,0.0522,0.3966
67,0.0587,0.3793
68,0.0830,0.4667
69,0.0884,0.3276
70,0.0670,0.4310
71,0.0695,0.3966
72,0.0447,0.3167
73,0.0805,0.4000
74,0.0671,0.4107
75,0.0581,0.3448
76,0.0521,0.3036
77,0.0649,0.4333
78,0.0677,0.3929
79,0.0782,0.4167
80,0.0937,0.3793
81,0.0641,0.3500
82,0.0913,0.5000
83,0.0650,0.4286
84,0.0526,0.3621
85,0.0728,0.3929
86,0.0842,0.5333
87,0.0819,0.6207
88,0.0614,0.4500
89,0.0655,0.4138
90,0.0700,0.4833
91,0.0570,0.4138
92,0.0757,0.4821
93,0.0888,0.4833
94,0.0783,0.4833
95,0.0639,0.4107
96,0.0771,0.4000
97,0.0928,0.6379
98,0.0839,0.4821
99,0.1078,0.5345
100,0.0584,0.4167
101,0.0695,0.4655
102,0.0595,0.3833
103,0.0558,0.4667
104,0.0624,0.4667
105,0.0418,0.3500
106,0.0529,0.4667
107,0.0544,0.4500
108,0.0567,0.4667
109,0.0615,0.5000
110,0.0633,0.4667
111,0.0478,0.4500
112,0.0580,0.4167
113,0.0531,0.5333
114,0.0692,0.5167
115,0.0842,0.6167
116,0.0510,0.4000
117,0.0482,0.4167
118,0.0533,0.4500
119,0.1135,0.6000
120,0.0399,0.3833
121,0.0377,0.3833
122,0.0677,0.5085
123,0.0421,0.3167
124,0.0269,0.2667
125,0.0390,0.4167
126,0.0610,0.5333
127,0.0393,0.4167
128,0.0275,0.2333
129,0.0406,0.4333
130,0.0685,0.5000
131,0.0545,0.4833
132,0.0538,0.4333
133,0.0694,0.5667
134,0.0498,0.4833
135,0.0399,0.3667
136,0.0616,0.4667
137,0.0566,0.4667
138,0.0662,0.5667
