Batch,CER,WER
0,0.0245,0.2000
1,0.0598,0.4000
2,0.0573,0.3833
3,0.0478,0.4000
4,0.0600,0.3000
5,0.0801,0.4833
6,0.0379,0.2833
7,0.0338,0.2500
8,0.0570,0.4000
9,0.0386,0.2833
10,0.0185,0.1667
11,0.0140,0.1167
12,0.0339,0.2833
13,0.0286,0.2500
14,0.0417,0.3167
15,0.0382,0.2167
16,0.0462,0.3167
17,0.0446,0.3167
18,0.0532,0.4000
19,0.0734,0.5000
20,0.0753,0.5167
21,0.0376,0.3000
22,0.0323,0.2333
23,0.0278,0.2167
24,0.0403,0.3051
25,0.0454,0.3667
26,0.0929,0.5000
27,0.0385,0.4167
28,0.0413,0.3333
29,0.0539,0.4667
30,0.0365,0.2667
31,0.0538,0.4000
32,0.0433,0.3667
33,0.0820,0.4333
34,0.0664,0.3500
35,0.0635,0.4333
36,0.0536,0.4333
37,0.0789,0.5167
38,0.0586,0.4000
39,0.0700,0.3898
40,0.1000,0.4667
41,0.0612,0.4167
42,0.0816,0.3500
43,0.0329,0.3667
44,0.0415,0.2667
45,0.0331,0.3000
46,0.0861,0.4333
47,0.0668,0.4333
48,0.0381,0.3667
49,0.0491,0.3833
50,0.0406,0.3167
51,0.1076,0.5667
52,0.0563,0.3667
53,0.0499,0.4000
54,0.0493,0.3500
55,0.0591,0.3833
56,0.0466,0.4167
57,0.0369,0.2881
58,0.0429,0.3500
59,0.0530,0.4333
60,0.0681,0.4167
61,0.0576,0.4167
62,0.0921,0.5667
63,0.0924,0.5500
64,0.0634,0.3833
65,0.0657,0.4500
66,0.0594,0.4333
67,0.0636,0.3333
68,0.0616,0.2667
69,0.0599,0.4167
70,0.0711,0.5000
71,0.0261,0.2500
72,0.0360,0.2857
73,0.0389,0.2931
74,0.0513,0.4483
75,0.0401,0.3519
76,0.0533,0.4138
77,0.0584,0.5333
78,0.0355,0.3214
79,0.0623,0.3667
80,0.0375,0.2500
81,0.0342,0.3103
82,0.0687,0.4667
83,0.0901,0.5714
84,0.0795,0.4833
85,0.0576,0.3750
86,0.1107,0.6429
87,0.0398,0.3929
88,0.0460,0.4464
89,0.0537,0.4630
90,0.0324,0.2667
91,0.0325,0.2667
92,0.0458,0.4107
93,0.0390,0.3793
94,0.0837,0.5517
95,0.0476,0.4423
96,0.0572,0.4310
97,0.0540,0.4107
98,0.0438,0.3793
99,0.0538,0.3833
100,0.0585,0.4655
101,0.0848,0.5179
102,0.0415,0.3966
103,0.0371,0.4138
104,0.0365,0.3500
105,0.0708,0.4310
106,0.0434,0.3929
107,0.0561,0.5345
108,0.0716,0.5893
109,0.0484,0.4483
110,0.0576,0.4655
111,0.0729,0.5714
112,0.0474,0.3448
113,0.0844,0.5517
114,0.0721,0.5345
115,0.0633,0.5385
116,0.0791,0.5690
117,0.0548,0.3929
118,0.0812,0.5833
119,0.0590,0.5000
120,0.0827,0.5000
121,0.0918,0.5000
122,0.0809,0.4464
123,0.0624,0.4259
124,0.0575,0.4828
125,0.0604,0.5357
126,0.0433,0.3667
127,0.0649,0.4000
128,0.0313,0.2759
129,0.0596,0.5769
130,0.0709,0.6207
131,0.0421,0.3333
132,0.0744,0.4333
133,0.0383,0.3000
134,0.0510,0.4483
135,0.0601,0.5000
136,0.0759,0.5714
137,0.0455,0.3103
138,0.0489,0.3793
139,0.0693,0.4464
140,0.0735,0.3333
