Batch,CER,WER
0,0.5816,1.2241
1,0.4292,0.9333
2,0.5861,1.2586
3,0.5255,1.0893
4,0.4949,1.1833
5,0.5577,1.0000
6,0.4128,1.0357
7,0.5056,1.0536
8,0.4573,1.0862
9,0.5345,1.2167
10,0.4533,1.0172
11,0.5032,1.1167
12,0.7928,1.4500
13,0.4937,1.0000
14,0.4776,1.0167
15,0.5176,0.9821
16,0.4775,1.1034
17,0.7575,1.3929
18,0.5204,1.0000
19,0.4600,1.0000
20,0.5551,1.1964
21,0.4634,1.0000
22,0.5843,1.0000
23,0.4789,0.9821
24,1.1978,2.1207
25,0.8487,1.7586
26,0.5777,1.1167
27,0.5216,1.1034
28,0.6628,1.3276
29,0.6946,1.3500
30,0.5650,1.1034
31,0.5059,0.9828
32,0.5264,1.0345
33,0.5418,1.0345
34,0.6468,1.2241
35,0.5414,1.2241
36,0.4545,0.9464
37,0.5720,1.1724
38,0.5422,1.0167
39,0.5253,1.0000
40,0.6682,1.1897
41,1.0139,1.7241
42,0.5442,0.9821
43,0.6053,1.0536
44,0.5179,1.2333
45,0.5563,1.1167
46,0.5249,1.0000
47,0.5662,1.0172
48,0.6000,1.0893
49,0.5379,1.0714
50,0.4989,1.1250
51,0.6659,1.1833
52,0.6140,1.3276
53,0.5907,1.1207
54,0.8803,1.7241
55,0.6031,1.3036
56,0.5560,1.1207
57,0.5111,0.9828
58,0.7150,1.2759
59,0.4944,1.0000
60,0.8207,1.4310
61,0.8978,1.5690
62,0.6191,1.1833
63,0.5599,1.0370
64,0.5675,1.0500
65,0.6772,1.2963
66,0.6000,1.1034
67,0.5257,0.9655
68,0.5617,1.2333
69,0.5227,0.9828
70,0.5356,1.1034
71,0.6475,1.1034
72,0.6768,1.3833
73,0.7034,1.4500
74,0.5022,1.1964
75,0.6651,1.2069
76,0.6247,1.2321
77,0.5481,1.0667
78,0.5756,1.2321
79,0.6966,1.2167
80,0.7775,1.3103
81,0.7002,1.3333
82,0.6217,1.2333
83,0.6816,1.4643
84,0.8842,1.7414
85,0.5563,1.0000
86,0.5711,1.2000
87,0.5453,1.1379
88,0.5683,1.2500
89,0.6070,1.4138
90,0.5432,1.0500
91,0.5000,1.1034
92,0.5887,1.1964
93,0.8565,1.4167
94,0.5029,1.1667
95,0.5251,1.1607
96,0.5034,1.0000
97,0.5023,0.9828
98,0.4918,1.0179
99,0.5063,0.9828
100,0.5794,1.1000
101,0.5665,1.1897
102,0.5873,1.2833
103,0.4860,1.2833
104,0.4947,1.2833
105,0.5301,1.3167
106,0.5661,1.4167
107,0.7744,1.9333
108,0.5782,1.6167
109,0.6169,1.8000
110,0.5839,1.2167
111,0.7328,1.8167
112,0.5937,1.5167
113,0.6086,1.5333
114,0.6103,1.4667
115,0.6089,1.2667
116,0.7799,1.8333
117,0.6099,1.6833
118,0.6252,1.6833
119,0.5568,1.3167
120,0.5776,1.4167
121,0.5714,1.5167
122,0.5039,1.4915
123,0.5631,1.3667
124,0.6035,1.2667
125,0.6162,1.7333
126,0.5152,1.4667
127,0.5409,1.4500
128,0.5129,1.2333
129,0.5130,1.2167
130,0.8271,1.9667
131,0.8000,1.7833
132,0.6737,1.8333
133,0.5934,1.2667
134,0.6096,1.6500
135,0.5463,1.4833
136,0.7915,1.8667
137,0.6672,1.6000
138,0.5678,1.4667
