Batch,CER,WER
0,0.1004,0.6724
1,0.0494,0.3167
2,0.0654,0.3448
3,0.0554,0.4286
4,0.0511,0.3667
5,0.1024,0.5893
6,0.1216,0.6250
7,0.0787,0.4107
8,0.1137,0.5690
9,0.0750,0.5500
10,0.1752,0.8448
11,0.0621,0.3500
12,0.1261,0.6833
13,0.1253,0.7037
14,0.0717,0.4333
15,0.0612,0.4464
16,0.0743,0.4655
17,0.1425,0.7857
18,0.1103,0.6071
19,0.0311,0.2321
20,0.0899,0.4821
21,0.0310,0.2500
22,0.1140,0.5517
23,0.0516,0.2857
24,0.0517,0.3448
25,0.0294,0.2069
26,0.0678,0.3000
27,0.0671,0.4828
28,0.0924,0.4310
29,0.0479,0.3167
30,0.0291,0.2069
31,0.0515,0.3448
32,0.0943,0.4828
33,0.0633,0.3966
34,0.0552,0.3793
35,0.0515,0.3621
36,0.1608,0.7321
37,0.0860,0.4483
38,0.1400,0.5500
39,0.0462,0.2667
40,0.1185,0.5862
41,0.0789,0.4655
42,0.2124,0.8750
43,0.0557,0.2857
44,0.0505,0.3167
45,0.2229,1.1333
46,0.0633,0.3833
47,0.1393,0.7586
48,0.0644,0.3571
49,0.1161,0.5179
50,0.0499,0.3214
51,0.0512,0.3667
52,0.0512,0.3276
53,0.1674,0.7069
54,0.0554,0.3966
55,0.1619,0.8750
56,0.0754,0.3966
57,0.1000,0.5862
58,0.0724,0.3448
59,0.0584,0.3000
60,0.0994,0.5000
61,0.0754,0.4655
62,0.0570,0.3333
63,0.0733,0.2778
64,0.0385,0.3167
65,0.1602,0.6296
66,0.1630,0.7414
67,0.1320,0.6552
68,0.1255,0.5667
69,0.1414,0.4655
70,0.1145,0.6207
71,0.1295,0.6207
72,0.0711,0.4000
73,0.1801,0.8500
74,0.0952,0.6250
75,0.1907,0.8621
76,0.1020,0.5000
77,0.1394,0.7667
78,0.1287,0.7143
79,0.0713,0.3667
80,0.1663,0.7414
81,0.0847,0.3833
82,0.0891,0.4833
83,0.0561,0.3571
84,0.1600,0.8448
85,0.2488,1.0000
86,0.1202,0.7167
87,0.1659,0.8621
88,0.0436,0.3833
89,0.1201,0.6207
90,0.0597,0.4167
91,0.0724,0.4828
92,0.1844,0.7321
93,0.0888,0.4500
94,0.1194,0.6167
95,0.0685,0.4464
96,0.0884,0.5000
97,0.0882,0.5862
98,0.1841,0.8036
99,0.0927,0.4828
100,0.0561,0.3500
101,0.0634,0.3793
102,0.0480,0.3167
103,0.0443,0.3667
104,0.1081,0.7500
105,0.0301,0.2667
106,0.0373,0.3500
107,0.0352,0.2833
108,0.0552,0.3833
109,0.0492,0.4000
110,0.0554,0.4333
111,0.0343,0.3500
112,0.1111,0.7667
113,0.0415,0.3833
114,0.1031,0.6333
115,0.1469,0.8833
116,0.0700,0.5167
117,0.0361,0.4000
118,0.0501,0.3500
119,0.1117,0.6333
120,0.0492,0.4333
121,0.0424,0.3333
122,0.1354,0.8136
123,0.0259,0.2500
124,0.0363,0.3833
125,0.0420,0.3667
126,0.0351,0.3667
127,0.0173,0.2333
128,0.0243,0.2500
129,0.0292,0.3167
130,0.0506,0.4833
131,0.0479,0.5333
132,0.0506,0.3833
133,0.0512,0.4333
134,0.0404,0.4500
135,0.0288,0.2833
136,0.0395,0.5000
137,0.0316,0.3000
138,0.0568,0.6333
