Batch,CER,WER
0,0.8493,1.7667
1,0.5231,1.3000
2,0.6560,1.5667
3,0.4407,1.1000
4,0.5591,1.3500
5,0.5244,1.3667
6,0.6402,1.5333
7,0.6244,1.6167
8,0.7718,1.8167
9,0.6123,1.3333
10,0.5092,1.1667
11,0.4563,1.2333
12,0.5036,1.2667
13,0.5259,1.2667
14,0.4886,1.0833
15,0.4271,1.1833
16,0.5046,1.4167
17,0.4982,1.1000
18,0.4450,1.2167
19,0.9164,2.0167
20,0.4641,1.3333
21,0.4376,1.3667
22,0.4630,1.2500
23,0.5017,1.3167
24,0.5244,1.6102
25,0.4887,1.1833
26,0.4804,1.2500
27,0.5044,1.2500
28,0.4794,1.1167
29,0.4506,1.1000
30,0.4939,1.2500
31,0.4306,1.2667
32,0.5072,1.2333
33,0.4332,1.1667
34,0.6661,1.5667
35,0.5572,1.4833
36,0.5714,1.2833
37,0.7581,1.6333
38,0.7983,1.8333
39,0.5136,1.2881
40,0.4786,1.3500
41,0.5629,1.2833
42,0.5585,1.4333
43,1.3813,3.3333
44,0.5173,1.2500
45,0.5749,1.2500
46,0.5542,1.4167
47,0.5802,1.2833
48,0.7474,1.6667
49,0.5313,1.4333
50,0.5668,1.4500
51,0.5881,1.4167
52,0.8584,2.0667
53,0.8004,1.9833
54,0.5528,1.5333
55,0.4750,1.2167
56,0.5359,1.2833
57,0.4777,1.1695
58,0.4472,1.2167
59,0.5194,1.3667
60,0.5046,1.2500
61,0.4424,1.1000
62,0.4874,1.3000
63,0.4547,1.2333
64,0.5634,1.3167
65,0.5722,1.3333
66,0.6097,1.4833
67,0.5400,1.3333
68,0.6866,1.5500
69,0.5826,1.5167
70,0.4929,1.3333
71,0.4274,1.2667
72,0.4299,1.1429
73,0.4882,1.5172
74,0.5436,1.2586
75,0.5686,1.6111
76,0.4674,1.3103
77,0.5126,1.3167
78,0.5471,1.3393
79,0.5335,1.4167
80,0.4446,1.2143
81,0.5556,1.4483
82,0.6585,1.4667
83,0.5515,1.2857
84,0.5613,1.2833
85,0.5567,1.4821
86,0.5830,1.3036
87,0.5837,1.3036
88,0.5616,1.5714
89,0.4848,1.3889
90,0.5046,1.5167
91,0.4789,1.4167
92,0.4853,1.4464
93,0.8186,2.4483
94,0.5137,1.4483
95,0.6286,1.6538
96,0.5314,1.1724
97,0.5493,1.3393
98,0.4637,1.3448
99,0.6185,1.5500
100,0.5496,1.5690
101,0.5398,1.4464
102,0.6600,1.7414
103,0.5177,1.2759
104,0.5182,1.4500
105,0.4957,1.3448
106,0.4878,1.3214
107,0.4703,1.1724
108,0.4973,1.3393
109,0.5910,1.6034
110,0.5905,1.6379
111,0.6371,1.7500
112,0.4863,1.2931
113,0.5109,1.6034
114,0.5302,1.3793
115,0.6799,1.9231
116,0.4460,1.3276
117,0.5636,1.4464
118,0.5043,1.3000
119,0.4604,1.3966
120,0.6791,1.7414
121,0.5949,1.5862
122,0.6105,1.7143
123,0.6092,1.3704
124,0.5399,1.4483
125,1.3108,2.9107
126,0.4892,1.5000
127,0.5206,1.4000
128,0.6260,1.7759
129,0.5397,1.4038
130,0.5969,1.3276
131,0.5950,1.6500
132,0.5922,1.5167
133,0.5192,1.1667
134,0.9877,2.2414
135,0.5282,1.4615
136,0.7739,1.7857
137,0.6445,1.7586
138,0.5750,1.4483
139,0.6447,1.4286
140,0.5588,1.3333
