Batch,CER,WER
0,0.0169,0.0667
1,0.0855,0.2500
2,0.1029,0.2000
3,0.0726,0.2167
4,0.0544,0.1167
5,0.1341,0.3667
6,0.0341,0.1167
7,0.0423,0.1833
8,0.0889,0.2000
9,0.0368,0.1000
10,0.0424,0.1167
11,0.0594,0.1333
12,0.0625,0.2000
13,0.0286,0.0667
14,0.0455,0.1667
15,0.0521,0.1000
16,0.1238,0.2833
17,0.0179,0.1000
18,0.0957,0.2167
19,0.0546,0.2500
20,0.1821,0.4000
21,0.0821,0.1833
22,0.0209,0.0667
23,0.1076,0.2667
24,0.0639,0.1695
25,0.0279,0.0833
26,0.1429,0.4667
27,0.0508,0.2000
28,0.1167,0.3000
29,0.1472,0.4000
30,0.0470,0.0833
31,0.0903,0.2500
32,0.0578,0.1500
33,0.1212,0.3333
34,0.0812,0.2333
35,0.0853,0.2167
36,0.1000,0.1667
37,0.1201,0.2667
38,0.0879,0.2667
39,0.1868,0.3559
40,0.1625,0.5167
41,0.0486,0.2000
42,0.1436,0.3167
43,0.0884,0.2167
44,0.0848,0.1833
45,0.0488,0.1167
46,0.1205,0.2167
47,0.1260,0.2500
48,0.1090,0.2667
49,0.1201,0.3833
50,0.0423,0.1333
51,0.1299,0.3500
52,0.0853,0.2000
53,0.0927,0.2833
54,0.0493,0.1833
55,0.1460,0.2667
56,0.0621,0.2667
57,0.0699,0.1525
58,0.0733,0.1833
59,0.1095,0.1833
60,0.0847,0.2500
61,0.1169,0.2500
62,0.2004,0.4833
63,0.2131,0.4833
64,0.1922,0.2833
65,0.0882,0.2500
66,0.1835,0.3833
67,0.1327,0.2667
68,0.0797,0.2167
69,0.1107,0.2333
70,0.2085,0.3333
71,0.1109,0.2333
72,0.1924,0.4286
73,0.1402,0.3103
74,0.1385,0.2931
75,0.1254,0.2593
76,0.1100,0.3276
77,0.1703,0.3833
78,0.1705,0.4643
79,0.1725,0.3333
80,0.1107,0.2679
81,0.1641,0.3448
82,0.2606,0.4333
83,0.3401,0.7143
84,0.2235,0.4500
85,0.2635,0.5714
86,0.3801,0.7321
87,0.2222,0.4464
88,0.0952,0.3214
89,0.2111,0.5000
90,0.0957,0.2333
91,0.0877,0.1500
92,0.0408,0.1250
93,0.0898,0.2414
94,0.1127,0.3276
95,0.1924,0.4615
96,0.1421,0.3966
97,0.1825,0.4821
98,0.1366,0.2931
99,0.1231,0.3000
100,0.1821,0.2931
101,0.1886,0.4464
102,0.2023,0.5172
103,0.1315,0.4138
104,0.1109,0.3167
105,0.1675,0.3621
106,0.1267,0.3393
107,0.0578,0.1724
108,0.2021,0.6250
109,0.1503,0.4138
110,0.1069,0.3793
111,0.1379,0.4107
112,0.0783,0.1724
113,0.2156,0.4483
114,0.1158,0.2759
115,0.1248,0.3654
116,0.2050,0.4655
117,0.2332,0.5714
118,0.1762,0.3833
119,0.1214,0.3966
120,0.2528,0.7759
121,0.2389,0.4483
122,0.1939,0.4286
123,0.1945,0.5370
124,0.1741,0.4828
125,0.0977,0.3571
126,0.0650,0.1667
127,0.0934,0.2667
128,0.1301,0.2586
129,0.4043,1.0000
130,0.1678,0.5000
131,0.2383,0.4833
132,0.1958,0.5167
133,0.1098,0.3000
134,0.1705,0.3966
135,0.1785,0.3846
136,0.3086,0.5714
137,0.1039,0.2241
138,0.1197,0.3448
139,0.1993,0.4464
140,0.1176,0.1667
