Batch,CER,WER
0,0.2166,0.4500
1,0.2393,0.5500
2,0.2462,0.6167
3,0.1080,0.3167
4,0.1482,0.4167
5,0.2544,0.6500
6,0.1648,0.3167
7,0.1929,0.4333
8,0.2131,0.5500
9,0.1877,0.4833
10,0.2048,0.5000
11,0.0734,0.2167
12,0.2982,0.4500
13,0.1717,0.3500
14,0.2140,0.4833
15,0.2361,0.4500
16,0.1553,0.4500
17,0.2339,0.4833
18,0.3546,0.6667
19,0.6041,0.9500
20,0.4658,0.7667
21,0.4239,0.6500
22,0.3131,0.5833
23,0.3194,0.6833
24,0.2538,0.5254
25,0.2897,0.5000
26,0.3214,0.7833
27,0.2574,0.6167
28,0.3016,0.5000
29,0.2675,0.5500
30,0.2226,0.4833
31,0.2639,0.6667
32,0.2671,0.5167
33,0.2513,0.6000
34,0.2565,0.5500
35,0.3122,0.6667
36,0.2696,0.5500
37,0.2473,0.5000
38,0.3224,0.5833
39,0.2879,0.5254
40,0.2964,0.6000
41,0.3147,0.6000
42,0.3617,0.6833
43,0.2530,0.5500
44,0.3028,0.6333
45,0.2648,0.4833
46,0.3339,0.6500
47,0.3111,0.5167
48,0.3010,0.5667
49,0.2961,0.6000
50,0.2487,0.4833
51,0.3915,0.7333
52,0.4215,1.0167
53,0.2692,0.5333
54,0.1426,0.3333
55,0.2810,0.4667
56,0.1515,0.3333
57,0.1437,0.2712
58,0.2648,0.5000
59,0.2297,0.4667
60,0.1952,0.5000
61,0.2237,0.5500
62,0.2148,0.4833
63,0.3020,0.7167
64,0.2313,0.5000
65,0.1839,0.4833
66,0.2698,0.5167
67,0.1782,0.4500
68,0.2210,0.4500
69,0.9002,1.4000
70,0.3254,0.6333
71,0.2904,0.6333
72,0.2680,0.6250
73,0.3429,0.8621
74,0.2769,0.5517
75,0.2943,0.6111
76,0.2869,0.6724
77,0.3580,0.8333
78,0.3144,0.7500
79,0.3882,0.8833
80,0.3250,0.8214
81,0.2393,0.5690
82,0.3046,0.6333
83,0.4338,0.8214
84,0.4454,0.8833
85,0.2932,0.6607
86,0.3506,0.7500
87,0.3383,0.7143
88,0.2644,0.7679
89,0.3560,0.8704
90,0.3904,0.7333
91,0.1851,0.4667
92,0.2778,0.6250
93,0.2390,0.6034
94,0.3317,0.6552
95,0.2495,0.4615
96,0.2731,0.7414
97,0.2514,0.5714
98,0.2833,0.6552
99,0.3046,0.7833
100,0.3593,0.7931
101,0.4031,0.8393
102,0.3018,0.7931
103,0.2782,0.6724
104,0.2868,0.6833
105,0.2832,0.6724
106,0.3264,0.8036
107,0.3548,0.7069
108,0.3363,0.8929
109,0.3856,0.8276
110,0.2681,0.6379
111,0.3645,0.9107
112,0.2477,0.6552
113,0.3578,0.9310
114,1.1862,0.8103
115,0.3942,0.8462
116,0.3058,0.6552
117,0.3569,0.8393
118,0.3472,0.8167
119,0.3946,0.8793
120,0.4052,0.8621
121,0.2468,0.6207
122,0.4924,0.8750
123,0.3927,0.8333
124,0.2572,0.6724
125,0.3126,0.6964
126,0.3344,0.7333
127,0.2373,0.6333
128,0.2471,0.5172
129,0.3213,0.8462
130,0.3235,0.8966
131,0.3380,0.8500
132,0.4417,1.0000
133,0.2509,0.6500
134,0.2812,0.7414
135,0.3297,0.8846
136,0.3927,0.8214
137,0.2500,0.4655
138,0.2344,0.5345
139,0.3414,0.7857
140,0.2941,0.6667
