Batch,CER,WER
0,0.1036,0.4667
1,0.1880,0.6000
2,0.1315,0.6833
3,0.0850,0.4167
4,0.0901,0.4167
5,0.1516,0.6667
6,0.1098,0.4167
7,0.1151,0.5000
8,0.1477,0.5667
9,0.1123,0.5667
10,0.1328,0.5833
11,0.0507,0.2500
12,0.1500,0.5000
13,0.0590,0.3833
14,0.1326,0.5500
15,0.0990,0.4667
16,0.1165,0.4833
17,0.1232,0.5833
18,0.2500,0.6833
19,0.5256,0.9667
20,0.4063,0.8333
21,0.3641,0.7333
22,0.2732,0.6333
23,0.2917,0.7500
24,0.1412,0.5763
25,0.2059,0.5833
26,0.2357,0.8333
27,0.2294,0.7667
28,0.2208,0.5333
29,0.1526,0.6000
30,0.1478,0.5667
31,0.1545,0.8167
32,0.1498,0.5667
33,0.1390,0.6167
34,0.1624,0.6000
35,0.1742,0.6833
36,0.1214,0.6500
37,0.1398,0.6000
38,0.2000,0.6333
39,0.1868,0.6271
40,0.2054,0.6333
41,0.1853,0.6667
42,0.2110,0.7000
43,0.1508,0.6000
44,0.2093,0.7333
45,0.1742,0.6167
46,0.1945,0.7167
47,0.1947,0.5667
48,0.1471,0.5833
49,0.2606,0.6833
50,0.1709,0.5333
51,0.2597,0.8500
52,0.4232,1.0833
53,0.1569,0.5667
54,0.0845,0.3500
55,0.2292,0.5500
56,0.0990,0.4333
57,0.0777,0.2712
58,0.2290,0.5333
59,0.1537,0.5000
60,0.1308,0.5333
61,0.1373,0.6000
62,0.1209,0.5167
63,0.2114,0.7833
64,0.1847,0.5333
65,0.1351,0.5167
66,0.1565,0.5667
67,0.1436,0.4667
68,0.1486,0.4833
69,0.8385,1.4167
70,0.1406,0.6667
71,0.1289,0.6833
72,0.1079,0.6250
73,0.1858,0.8793
74,0.1658,0.6379
75,0.1271,0.6111
76,0.1443,0.6724
77,0.2382,0.8833
78,0.1048,0.7143
79,0.1997,0.8333
80,0.2161,0.8393
81,0.1282,0.6724
82,0.1743,0.6833
83,0.2077,0.7321
84,0.2533,0.8500
85,0.1571,0.6786
86,0.1328,0.7321
87,0.1692,0.8214
88,0.1511,0.8036
89,0.2272,0.9444
90,0.1620,0.8000
91,0.1023,0.5500
92,0.1405,0.7321
93,0.1407,0.6897
94,0.1498,0.7414
95,0.1371,0.6538
96,0.1384,0.7586
97,0.1192,0.6429
98,0.1282,0.7241
99,0.2308,0.9333
100,0.2699,0.8966
101,0.2647,0.8393
102,0.1692,0.8276
103,0.1450,0.7586
104,0.1680,0.7500
105,0.1399,0.6897
106,0.2552,0.8929
107,0.3531,0.9138
108,0.2147,0.8750
109,0.2220,0.8276
110,0.1612,0.7069
111,0.1981,0.9643
112,0.1494,0.6724
113,0.2016,0.9483
114,1.1040,0.8621
115,0.3219,0.9423
116,0.1960,0.7931
117,0.2509,0.8214
118,0.1883,0.8500
119,0.2462,0.9310
120,0.2739,0.8621
121,0.1915,0.7586
122,0.3929,0.8929
123,0.3046,0.9074
124,0.1693,0.7241
125,0.2060,0.7679
126,0.1734,0.7833
127,0.1535,0.7333
128,0.1137,0.5345
129,0.1751,0.8462
130,0.1903,0.7931
131,0.1168,0.7167
132,0.2621,0.9500
133,0.1498,0.5833
134,0.1670,0.7414
135,0.1566,0.8462
136,0.1551,0.8214
137,0.1494,0.6034
138,0.1400,0.5690
139,0.2236,0.8036
140,0.1765,0.6667
